Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
BUF,1,-22.5%,1,2,-20.5%,2,-18.2%,1,-24.9%,4,-19.2%,1,-26.0%,1,-29.4%,2,-21.3%,32,15.5%,32,-6.1%
NE,2,-17.8%,2,1,-21.2%,1,-20.1%,2,-20.3%,10,-14.7%,2,-19.7%,2,-19.3%,5,-20.1%,27,9.3%,30,-4.6%
ARI,3,-12.5%,3,3,-12.1%,3,-9.8%,3,-13.4%,15,-11.2%,3,-12.6%,3,-13.0%,14,-11.9%,7,3.1%,13,0.6%
DAL,4,-9.7%,4,4,-10.9%,4,-9.0%,4,-9.9%,18,-9.5%,6,-8.6%,5,-6.7%,16,-11.6%,13,5.0%,7,2.3%
NO,5,-9.3%,5,5,-8.2%,5,-7.7%,13,7.4%,1,-32.6%,7,-7.8%,16,8.2%,1,-30.0%,17,5.7%,17,0.1%
TB,6,-6.2%,7,6,-7.8%,6,-7.6%,8,-1.2%,6,-17.4%,5,-9.5%,6,-5.0%,7,-19.5%,6,3.0%,22,-1.2%
CAR,7,-6.2%,6,8,-5.9%,7,-5.3%,5,-6.3%,22,-6.2%,4,-9.6%,4,-8.6%,18,-10.8%,31,13.6%,29,-3.9%
HOU,8,-5.3%,10,7,-7.2%,8,-5.1%,6,-5.6%,25,-5.0%,11,-2.4%,7,-2.5%,27,-2.3%,11,4.6%,23,-1.2%
LAR,9,-4.4%,8,10,-4.8%,9,-4.8%,12,3.4%,8,-14.8%,10,-2.4%,13,4.2%,17,-11.2%,10,4.3%,20,-0.8%
SF,10,-1.3%,11,13,-3.0%,11,-3.6%,22,13.2%,2,-21.7%,21,3.2%,24,16.5%,9,-15.3%,5,2.8%,6,2.4%
NYG,11,-1.3%,17,9,-5.1%,10,-3.9%,7,-3.3%,31,1.3%,14,0.2%,8,0.5%,29,-0.3%,9,4.3%,4,3.0%
IND,12,-1.1%,9,12,-3.2%,12,-3.3%,20,11.5%,3,-19.4%,8,-4.6%,14,6.5%,3,-20.9%,21,6.6%,21,-1.0%
GB,13,-0.6%,14,11,-3.3%,13,-3.0%,9,1.4%,27,-3.7%,13,0.0%,9,2.3%,26,-3.3%,16,5.6%,11,1.4%
CLE,14,-0.2%,24,15,-0.4%,16,-0.1%,16,8.8%,13,-11.8%,15,0.2%,18,9.5%,13,-11.9%,30,12.6%,24,-1.6%
MIA,15,-0.1%,20,14,-0.5%,15,-0.6%,14,7.9%,12,-12.7%,12,-2.1%,10,2.7%,19,-9.8%,23,8.1%,28,-3.6%
CIN,16,0.5%,15,20,1.8%,22,2.1%,19,9.7%,9,-14.7%,9,-3.2%,12,4.2%,8,-15.5%,12,4.7%,27,-3.5%
MIN,17,0.9%,13,19,1.0%,18,0.7%,10,2.1%,29,-0.7%,20,3.2%,11,3.0%,31,3.5%,15,5.2%,8,2.3%
BAL,18,1.5%,27,17,0.3%,14,-0.6%,24,13.7%,5,-18.6%,16,0.2%,21,12.9%,4,-20.6%,22,6.9%,14,0.4%
CHI,19,1.5%,16,22,2.3%,19,1.1%,17,9.2%,19,-7.4%,17,1.6%,15,7.4%,22,-5.2%,26,9.1%,10,2.0%
TEN,20,2.6%,12,18,0.7%,20,1.3%,15,8.1%,20,-6.5%,23,5.4%,19,12.3%,21,-6.1%,19,5.9%,12,1.1%
PHI,21,2.7%,18,21,1.9%,21,2.0%,23,13.6%,16,-10.9%,19,3.1%,23,16.2%,10,-13.4%,20,6.1%,15,0.4%
SEA,22,3.7%,19,23,3.0%,24,2.9%,27,17.1%,11,-12.9%,24,7.0%,27,22.7%,12,-12.5%,1,1.1%,2,3.9%
LAC,23,3.7%,21,25,3.9%,25,3.9%,11,2.3%,32,5.3%,27,10.0%,22,13.5%,32,6.3%,8,3.3%,1,4.7%
LV,24,3.8%,22,26,4.2%,26,4.0%,25,13.8%,17,-10.8%,18,2.6%,20,12.5%,15,-11.7%,2,1.2%,18,0.0%
DEN,25,3.9%,26,24,3.3%,23,2.4%,18,9.4%,26,-4.6%,22,4.6%,17,9.0%,28,-2.2%,28,10.6%,19,-0.2%
KC,26,5.7%,23,16,0.1%,17,0.5%,21,11.6%,28,-3.4%,30,11.3%,25,18.3%,30,0.6%,29,12.4%,3,3.4%
PIT,27,7.3%,25,29,9.0%,27,6.2%,26,17.0%,24,-5.0%,25,8.8%,26,19.4%,24,-4.5%,14,5.1%,16,0.3%
DET,28,9.6%,28,28,8.2%,30,7.9%,28,23.0%,21,-6.3%,28,10.7%,28,23.1%,25,-3.9%,4,2.3%,5,2.5%
ATL,29,10.5%,30,30,9.3%,31,8.5%,29,23.4%,23,-5.6%,26,9.3%,29,23.8%,20,-8.8%,3,1.4%,25,-1.6%
JAX,30,11.3%,29,27,6.9%,28,7.0%,32,31.2%,14,-11.7%,29,10.8%,31,31.0%,11,-12.7%,25,9.0%,26,-2.9%
WAS,31,11.6%,31,31,10.0%,29,7.5%,30,27.6%,7,-15.6%,31,12.3%,32,31.0%,6,-19.5%,18,5.8%,9,2.0%
NYJ,32,16.2%,32,32,17.3%,32,15.5%,31,29.5%,30,-0.6%,32,13.4%,30,27.7%,23,-4.6%,24,8.5%,31,-5.8%

