Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
TB,1,26.0%,1,1,24.1%,1,22.6%,1,43.5%,2,10.4%,1,23.2%,1,41.2%,3,6.7%,8,4.9%,8,-1.6%
LAC,2,14.6%,3,2,14.7%,3,12.7%,8,31.1%,10,-4.3%,2,16.1%,5,32.6%,10,-2.8%,18,8.3%,24,0.9%
SF,3,14.1%,4,3,14.4%,4,12.3%,4,33.5%,7,2.1%,7,12.3%,9,27.5%,6,4.4%,11,6.3%,15,-0.1%
LAR,4,14.0%,2,6,9.8%,6,9.4%,5,33.1%,11,-4.6%,5,13.2%,6,32.4%,14,-5.7%,24,9.6%,11,-1.0%
GB,5,13.8%,5,4,14.2%,2,14.4%,6,32.5%,12,-4.8%,3,16.1%,4,37.2%,16,-6.0%,16,7.7%,26,1.1%
KC,6,12.7%,6,9,8.5%,5,10.7%,9,25.5%,6,2.2%,11,8.7%,13,22.6%,11,-3.9%,26,10.4%,13,-0.8%
DAL,7,10.0%,8,12,5.6%,11,5.8%,7,31.8%,20,-9.3%,8,9.9%,7,30.9%,17,-8.2%,23,9.4%,18,0.0%
MIN,8,8.7%,9,7,9.4%,7,8.9%,2,37.6%,29,-21.3%,10,8.8%,2,38.7%,29,-22.6%,6,4.5%,10,-1.1%
IND,9,8.2%,11,8,9.2%,9,8.0%,18,12.1%,1,11.4%,14,6.8%,20,12.8%,2,7.4%,19,8.4%,14,-0.2%
ARI,10,8.1%,10,11,5.8%,12,5.2%,3,36.2%,24,-13.9%,6,13.0%,3,37.2%,13,-4.7%,17,8.0%,17,-0.1%
NE,11,7.4%,16,5,9.9%,8,8.8%,11,22.6%,9,-1.6%,9,9.5%,12,23.9%,7,1.6%,28,10.7%,25,1.0%
PHI,12,6.8%,7,10,7.4%,10,6.4%,17,12.8%,3,10.4%,16,6.2%,17,16.2%,4,5.5%,3,3.9%,20,0.3%
CLE,13,5.5%,12,15,2.5%,14,2.8%,19,11.4%,4,8.7%,17,5.6%,21,7.6%,1,13.3%,21,9.1%,16,-0.1%
SEA,14,4.2%,13,18,-0.8%,17,1.3%,14,20.0%,18,-8.3%,13,7.3%,10,27.2%,22,-10.3%,10,6.3%,22,0.4%
DEN,15,4.0%,15,13,4.3%,13,3.4%,12,20.9%,13,-6.0%,12,7.6%,11,27.2%,15,-5.8%,4,4.0%,31,4.3%
BUF,16,3.2%,18,16,2.4%,16,2.7%,16,18.4%,19,-8.3%,4,13.4%,8,30.7%,9,-0.9%,32,18.9%,30,3.5%
BAL,17,1.3%,14,19,-1.4%,18,-0.3%,20,6.9%,8,1.6%,15,6.5%,18,13.6%,5,5.2%,13,6.8%,29,2.6%
LV,18,1.1%,20,14,3.3%,15,2.8%,15,19.6%,23,-13.7%,18,3.3%,14,20.2%,19,-8.8%,15,7.7%,27,1.4%
WAS,19,0.8%,19,17,0.2%,19,-1.1%,13,20.2%,25,-14.5%,20,1.4%,16,18.8%,23,-11.4%,2,3.8%,7,-1.7%
NO,20,-0.8%,17,20,-2.8%,20,-3.3%,10,23.5%,27,-16.0%,21,-3.3%,15,19.4%,27,-16.9%,27,10.5%,5,-2.1%
CIN,21,-4.7%,23,21,-5.5%,21,-5.4%,24,3.2%,15,-7.8%,19,2.1%,19,12.8%,12,-4.1%,22,9.3%,32,5.3%
TEN,22,-5.8%,22,22,-6.7%,22,-5.8%,23,4.8%,16,-7.9%,23,-7.5%,24,2.9%,20,-9.2%,20,8.4%,4,-3.1%
PIT,23,-6.9%,21,23,-8.2%,23,-7.5%,22,5.4%,26,-16.0%,22,-7.2%,22,4.5%,26,-15.4%,9,5.3%,21,0.4%
NYJ,24,-10.3%,24,24,-8.3%,24,-9.5%,28,-7.0%,14,-7.3%,26,-14.5%,28,-12.3%,21,-9.9%,7,4.7%,1,-4.8%
JAX,25,-11.4%,25,27,-12.9%,27,-12.4%,29,-10.4%,5,4.3%,27,-14.6%,29,-12.5%,8,-0.6%,12,6.6%,6,-2.0%
MIA,26,-11.8%,28,26,-11.8%,26,-10.9%,21,5.6%,30,-26.7%,28,-15.1%,23,3.9%,30,-33.0%,1,3.5%,2,-3.2%
CHI,27,-12.4%,26,25,-11.3%,25,-10.7%,27,-5.8%,17,-8.2%,24,-11.0%,27,-3.1%,18,-8.2%,25,10.4%,28,1.8%
NYG,28,-13.9%,27,28,-16.7%,28,-15.0%,25,-4.1%,28,-18.8%,25,-12.1%,25,-0.9%,28,-19.1%,14,7.3%,19,0.2%
CAR,29,-20.4%,29,30,-23.1%,31,-21.9%,31,-18.9%,21,-9.4%,31,-22.5%,32,-21.1%,24,-11.6%,30,14.1%,9,-1.2%
DET,30,-21.2%,30,31,-24.6%,30,-21.1%,32,-19.2%,22,-11.9%,30,-21.6%,31,-19.5%,25,-12.5%,5,4.3%,23,0.8%
ATL,31,-21.3%,31,29,-22.3%,29,-19.9%,26,-4.3%,31,-36.5%,29,-19.7%,26,-2.8%,31,-34.6%,29,12.5%,12,-0.8%
HOU,32,-30.2%,32,32,-33.1%,32,-31.2%,30,-15.3%,32,-44.3%,32,-31.3%,30,-17.0%,32,-44.8%,31,14.6%,3,-3.1%

