away,home
DAL,NO
TB,ATL
PHI,NYJ
NYG,MIA
MIN,DET
LAC,CIN
IND,HOU
ARI,CHI
WAS,LV
JAX,LA
SF,SEA
BAL,PIT
DEN,KC
NE,BUF
