Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
CLE,14,5.5%,17,6-6,16,2.0%,15,2.1%,13,5.5%,14,-0.2%,18,-0.2%,12,7.0,14,5.1%,18,-0.5%,19,-1.2%,29,21.3%
PHI,15,5.4%,12,5-7,12,6.9%,12,5.7%,12,6.8%,21,2.7%,12,1.2%,13,6.7,15,5.1%,22,-1.0%,27,-6.8%,13,10.7%
LAC,16,3.7%,14,6-5,15,3.3%,16,2.0%,2,14.6%,23,3.7%,32,-7.2%,16,5.9,20,-0.2%,2,5.2%,26,-6.3%,10,10.2%
SEA,17,3.1%,16,3-8,17,-0.5%,17,1.2%,14,4.2%,22,3.7%,6,2.6%,19,5.7,16,2.9%,5,3.5%,23,-2.5%,2,3.6%
CIN,18,-2.8%,21,7-4,20,-4.7%,20,-5.1%,21,-4.7%,16,0.5%,7,2.5%,17,5.8,12,7.9%,31,-8.7%,5,6.1%,27,17.7%
DEN,19,-4.1%,20,6-5,18,-3.6%,18,-2.9%,15,4.0%,25,3.9%,29,-4.3%,20,5.5,18,1.5%,29,-4.5%,21,-1.7%,19,12.3%
LV,20,-5.8%,23,6-5,19,-4.5%,19,-4.3%,18,1.1%,24,3.8%,28,-3.1%,18,5.7,19,-0.1%,23,-1.1%,10,3.4%,9,9.9%
WAS,21,-8.7%,24,5-6,22,-8.9%,22,-7.8%,19,0.8%,31,11.6%,9,2.0%,21,5.3,21,-8.6%,7,2.4%,4,6.2%,6,9.3%
TEN,22,-9.3%,18,8-4,21,-7.8%,21,-7.5%,22,-5.8%,20,2.6%,21,-0.8%,22,4.9,25,-12.6%,1,5.3%,32,-12.9%,24,16.0%
NYG,23,-10.9%,25,4-7,23,-9.6%,23,-9.5%,28,-13.9%,11,-1.3%,11,1.7%,23,4.8,22,-10.6%,9,2.1%,18,-1.1%,15,11.0%
PIT,24,-13.2%,22,5-5-1,26,-15.7%,25,-12.4%,23,-6.9%,27,7.3%,15,1.0%,24,4.6,27,-15.5%,21,-0.8%,9,5.0%,21,14.0%
CHI,25,-14.0%,26,4-7,24,-13.9%,24,-12.1%,27,-12.4%,19,1.5%,17,0.0%,27,3.6,23,-12.2%,15,0.5%,2,7.6%,23,14.7%
MIA,26,-14.5%,27,5-7,25,-14.3%,26,-13.1%,26,-11.8%,15,-0.1%,26,-2.9%,26,3.8,26,-15.1%,19,-0.6%,22,-2.0%,12,10.6%
CAR,27,-15.3%,19,5-7,27,-17.6%,27,-16.9%,29,-20.4%,7,-6.2%,23,-1.1%,25,4.0,24,-12.4%,28,-2.4%,1,11.8%,31,38.1%
HOU,28,-25.7%,29,2-9,29,-25.8%,30,-26.0%,32,-30.2%,8,-5.3%,22,-0.8%,32,2.4,30,-28.3%,11,1.8%,16,-0.3%,25,16.8%
JAX,29,-25.9%,28,2-9,28,-23.1%,28,-22.0%,25,-11.4%,30,11.3%,27,-3.1%,28,3.6,28,-27.5%,26,-1.5%,17,-0.8%,7,9.7%
NYJ,30,-27.1%,31,3-8,30,-26.5%,29,-25.8%,24,-10.3%,32,16.2%,19,-0.6%,29,3.2,29,-28.2%,25,-1.3%,6,5.2%,17,11.9%
DET,31,-28.4%,30,0-10-1,31,-30.2%,31,-26.8%,30,-21.2%,28,9.6%,8,2.5%,30,3.0,31,-29.1%,8,2.3%,15,0.5%,3,5.3%
ATL,32,-38.5%,32,5-6,32,-37.9%,32,-33.6%,31,-21.3%,29,10.5%,31,-6.6%,31,2.5,32,-34.4%,20,-0.7%,3,6.2%,22,14.3%

