Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
TB,1,30.8%,1,8-3,2,30.5%,2,28.9%,1,26.0%,6,-6.2%,24,-1.5%,2,9.4,3,32.3%,14,0.6%,31,-10.1%,5,8.1%
NE,2,28.5%,3,8-4,1,35.4%,1,33.1%,11,7.4%,2,-17.8%,3,3.4%,5,7.9,2,32.7%,30,-7.3%,7,5.1%,30,25.0%
BUF,3,26.8%,5,7-4,3,24.2%,3,22.1%,16,3.2%,1,-22.5%,14,1.0%,14,6.4,1,40.7%,32,-9.7%,13,1.2%,32,44.5%
ARI,4,21.7%,2,9-2,5,18.5%,5,15.4%,10,8.1%,3,-12.5%,13,1.1%,4,8.2,4,27.6%,17,-0.1%,11,1.9%,18,12.3%
DAL,5,21.7%,4,7-4,4,19.1%,4,17.0%,7,10.0%,4,-9.7%,10,1.9%,3,8.9,5,21.8%,13,1.5%,12,1.3%,14,11.0%
LAR,6,16.8%,6,7-4,8,13.8%,9,13.3%,4,14.0%,9,-4.4%,25,-1.6%,1,9.6,7,14.8%,16,0.4%,8,5.0%,11,10.4%
SF,7,14.6%,7,6-5,6,16.8%,6,15.3%,3,14.1%,10,-1.3%,20,-0.7%,8,7.6,11,9.3%,6,3.1%,30,-9.4%,4,5.7%
IND,8,12.2%,8,6-6,7,16.3%,7,15.0%,9,8.2%,12,-1.1%,4,3.0%,9,7.2,6,16.0%,24,-1.2%,20,-1.4%,16,11.6%
KC,9,11.6%,10,7-4,9,13.6%,8,14.7%,6,12.7%,26,5.7%,2,4.6%,7,7.6,17,1.9%,3,4.0%,25,-4.4%,26,16.9%
MIN,10,10.8%,11,5-6,11,12.3%,11,11.2%,8,8.7%,17,0.9%,5,2.9%,10,7.1,10,10.2%,4,3.6%,28,-7.1%,1,2.9%
GB,11,10.2%,13,9-3,10,13.1%,10,13.2%,5,13.8%,13,-0.6%,30,-4.3%,6,7.7,9,11.8%,12,1.7%,24,-4.1%,20,12.4%
NO,12,8.9%,9,5-6,13,5.8%,14,4.9%,20,-0.8%,5,-9.3%,16,0.4%,11,7.0,13,5.7%,10,2.0%,29,-7.2%,28,20.2%
BAL,13,5.6%,15,8-3,14,3.6%,13,5.4%,17,1.3%,18,1.5%,1,5.7%,15,6.0,8,12.7%,27,-2.3%,14,0.6%,8,9.8%
