"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","TB","0.146","52.2%","0.186","52.5%","0.058","51.5%"
"2","","ARI","0.122","47.9%","0.254","53.4%","-0.055","40.4%"
"3","","KC","0.104","51.2%","0.175","53.4%","-0.062","46.1%"
"4","","BUF","0.103","48.4%","0.194","52.3%","-0.075","41.0%"
"5","","GB","0.102","46.0%","0.198","48.8%","-0.054","41.3%"
"6","","IND","0.089","45.1%","0.102","46.5%","0.069","43.1%"
"7","","LAC","0.085","46.5%","0.142","49.1%","-0.048","40.4%"
"8","","LA","0.084","47.5%","0.190","50.9%","-0.111","41.2%"
"9","","SF","0.082","45.4%","0.173","47.9%","-0.032","42.3%"
"10","","DAL","0.071","47.4%","0.177","51.0%","-0.107","41.3%"
"11","","NE","0.062","47.5%","0.137","50.0%","-0.042","44.1%"
"12","","DEN","0.055","44.0%","0.146","47.2%","-0.087","39.0%"
"13","","MIN","0.048","42.3%","0.174","47.5%","-0.148","34.2%"
"14","","CIN","0.047","46.7%","0.114","51.0%","-0.047","40.6%"
"15","","PHI","0.035","46.5%","0.047","44.0%","0.018","50.0%"
"16","","TEN","0.028","46.6%","0.074","52.2%","-0.031","39.5%"
"17","","CLE","0.026","44.2%","0.030","45.2%","0.021","42.9%"
"18","","BAL","0.015","47.6%","0.037","48.9%","-0.021","45.5%"
"19","","LV","0.014","44.6%","0.126","47.9%","-0.194","38.4%"
"20","","WAS","0.008","46.2%","0.079","48.0%","-0.102","43.3%"
"21","","SEA","-0.011","43.0%","0.021","43.3%","-0.069","42.3%"
"22","","NO","-0.018","42.3%","0.082","46.2%","-0.160","36.7%"
"23","","MIA","-0.036","42.2%","0.040","46.8%","-0.196","32.4%"
"24","","PIT","-0.038","39.7%","-0.010","42.1%","-0.094","34.9%"
"25","","NYG","-0.050","42.2%","-0.006","44.3%","-0.142","37.8%"
"26","","JAX","-0.058","46.1%","-0.060","45.6%","-0.054","47.1%"
"27","","NYJ","-0.063","44.4%","-0.046","45.9%","-0.099","41.4%"
"28","","CHI","-0.064","41.4%","-0.043","43.4%","-0.096","38.4%"
"29","","ATL","-0.073","41.8%","0.001","48.3%","-0.208","30.0%"
"30","","CAR","-0.097","42.1%","-0.111","42.1%","-0.076","42.2%"
"31","","DET","-0.107","40.5%","-0.129","43.5%","-0.068","35.5%"
"32","","HOU","-0.167","35.8%","-0.101","43.0%","-0.274","24.1%"
