Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
TB,1,30.8%,1,10-3,2,29.6%,1,28.4%,7,-4.2%,24,-1.7%,2,10.5,1,32.5%,15,0.5%,32,-13.5%,5,7.0%
NE,2,27.9%,2,9-4,1,37.9%,10,8.0%,2,-17.3%,4,2.5%,5,8.7,3,30.1%,29,-3.7%,22,-1.4%,30,24.2%
DAL,3,26.3%,4,9-4,3,25.2%,8,8.3%,3,-15.7%,7,2.3%,3,10.1,4,26.8%,11,1.7%,17,0.4%,12,10.4%
BUF,4,24.6%,3,7-6,5,23.1%,14,5.9%,1,-17.6%,14,1.1%,13,7.2,2,30.9%,27,-3.0%,30,-12.1%,32,36.7%
LAR,5,23.0%,6,9-4,6,20.9%,4,13.7%,6,-9.4%,18,-0.1%,1,11.2,6,22.7%,23,-1.4%,2,7.5%,13,11.1%
ARI,6,19.6%,5,10-3,9,15.1%,16,5.1%,4,-12.8%,10,1.7%,8,8.2,5,25.3%,17,0.1%,11,2.7%,14,11.2%
KC,7,18.8%,9,9-4,4,24.3%,5,13.5%,17,0.6%,2,6.0%,4,9.0,11,10.7%,6,2.7%,21,-1.3%,27,18.3%
SF,8,15.4%,7,7-6,8,18.0%,6,12.7%,8,-3.5%,21,-0.8%,7,8.3,10,10.9%,10,1.8%,31,-12.3%,3,5.5%
IND,9,13.7%,8,7-6,7,18.5%,7,8.4%,9,-3.3%,9,2.0%,9,7.8,7,19.8%,28,-3.3%,13,1.8%,17,11.5%
GB,10,10.7%,10,10-3,10,14.1%,2,17.9%,16,0.6%,32,-6.7%,6,8.5,8,12.9%,14,0.7%,25,-3.7%,18,12.0%
LAC,11,9.5%,12,8-5,11,12.0%,3,17.0%,20,2.2%,31,-5.3%,14,7.1,14,6.8%,2,3.6%,27,-5.1%,11,10.4%
MIN,12,8.6%,11,6-7,12,10.0%,11,7.7%,19,1.6%,6,2.4%,12,7.5,9,11.4%,22,-0.5%,16,0.9%,1,3.1%
NO,13,6.9%,13,6-7,15,3.3%,19,-3.2%,5,-9.8%,16,0.4%,11,7.5,17,4.2%,12,1.6%,28,-9.1%,28,19.1%
CLE,14,4.9%,14,7-6,16,-0.2%,13,6.2%,15,0.1%,22,-1.3%,10,7.6,15,5.8%,19,0.0%,26,-3.7%,29,19.1%
PHI,15,4.4%,15,6-7,13,5.6%,9,8.1%,22,3.7%,17,0.1%,15,6.9,16,5.7%,24,-1.9%,19,-1.0%,7,9.2%
