Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
BAL,16,3.5%,16,8-5,17,-0.3%,17,0.9%,23,3.7%,1,6.4%,18,6.1,13,8.3%,25,-1.9%,7,4.5%,16,11.3%
SEA,17,2.5%,17,5-8,18,-0.6%,15,5.4%,26,5.4%,5,2.5%,17,6.3,18,2.3%,9,2.0%,20,-1.0%,2,3.9%
DEN,18,1.0%,18,7-6,14,3.8%,12,7.7%,21,3.1%,29,-3.6%,16,6.8,12,8.8%,30,-4.7%,9,3.5%,23,13.9%
CIN,19,-4.2%,19,7-6,19,-5.2%,21,-5.2%,12,-0.4%,15,0.6%,19,6.1,19,2.2%,32,-6.2%,4,7.1%,24,15.3%
TEN,20,-7.5%,22,9-4,21,-8.1%,23,-5.7%,14,0.0%,25,-1.8%,22,5.5,21,-8.7%,3,2.8%,29,-10.0%,26,18.0%
WAS,21,-7.5%,21,6-7,20,-6.9%,20,-3.4%,28,6.2%,8,2.0%,21,5.6,22,-11.7%,1,4.1%,5,5.0%,6,7.5%
LV,22,-9.9%,20,6-7,23,-11.3%,18,-1.6%,25,5.3%,28,-3.0%,20,5.8,20,-6.1%,13,1.2%,3,7.3%,21,13.1%
PIT,23,-11.5%,23,6-6-1,24,-14.5%,22,-5.3%,27,5.8%,20,-0.3%,23,5.3,24,-12.8%,18,0.0%,6,4.9%,22,13.3%
MIA,24,-13.7%,25,6-7,22,-11.2%,25,-11.4%,11,-0.7%,27,-3.0%,25,4.3,23,-11.8%,26,-2.8%,15,1.1%,10,10.2%
NYG,25,-15.0%,24,4-9,25,-15.0%,27,-14.8%,18,1.4%,13,1.1%,24,4.7,26,-16.0%,5,2.8%,12,2.0%,8,9.7%
CHI,26,-15.1%,26,4-9,26,-15.1%,26,-13.0%,24,4.8%,3,2.8%,28,3.5,27,-18.0%,8,2.3%,14,1.1%,19,12.1%
CAR,27,-19.1%,27,5-8,28,-21.7%,30,-20.8%,10,-3.1%,23,-1.4%,27,3.9,25,-13.2%,31,-5.0%,1,23.3%,31,35.2%
NYJ,28,-22.8%,28,3-10,27,-20.9%,24,-8.7%,32,15.6%,12,1.5%,26,4.0,28,-25.8%,21,-0.2%,10,2.9%,15,11.2%
JAX,29,-30.3%,30,2-11,29,-28.9%,28,-17.7%,29,10.3%,26,-2.2%,29,3.4,32,-33.7%,16,0.2%,23,-2.9%,9,10.0%
HOU,30,-30.3%,31,2-11,30,-31.5%,32,-30.1%,13,-0.1%,19,-0.3%,32,2.3,31,-33.1%,4,2.8%,24,-3.2%,25,16.6%
DET,31,-31.7%,29,1-11-1,32,-33.7%,31,-21.0%,31,12.3%,11,1.6%,31,2.6,30,-32.2%,7,2.6%,18,-0.4%,4,6.3%
ATL,32,-34.4%,32,6-7,31,-33.0%,29,-18.5%,30,10.9%,30,-5.0%,30,3.2,29,-31.4%,20,0.0%,8,3.8%,20,12.8%

