"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","TB","0.155","51.5%","0.205","52.8%","0.042","48.7%"
"2","","GB","0.117","46.8%","0.214","49.9%","-0.041","41.8%"
"3","","KC","0.112","51.2%","0.182","53.3%","-0.046","46.4%"
"4","","ARI","0.108","47.5%","0.232","52.6%","-0.065","40.3%"
"5","","LA","0.104","47.6%","0.213","51.0%","-0.093","41.6%"
"6","","IND","0.094","46.0%","0.101","46.8%","0.085","44.9%"
"7","","LAC","0.087","46.8%","0.149","49.4%","-0.048","41.2%"
"8","","BUF","0.080","47.6%","0.153","51.0%","-0.069","40.6%"
"9","","SF","0.075","45.0%","0.156","47.4%","-0.031","41.9%"
"10","","NE","0.056","46.9%","0.136","49.9%","-0.042","43.3%"
"11","","DEN","0.054","45.2%","0.124","47.5%","-0.049","41.8%"
"12","","PHI","0.053","46.8%","0.079","45.0%","0.020","49.0%"
"13","","MIN","0.044","42.8%","0.144","47.2%","-0.105","36.3%"
"14","","DAL","0.037","45.6%","0.114","48.8%","-0.094","39.9%"
"15","","TEN","0.027","46.0%","0.083","52.1%","-0.045","38.3%"
"16","","CLE","0.024","44.0%","0.039","45.8%","0.004","41.6%"
"17","","CIN","0.021","45.3%","0.101","49.2%","-0.097","39.6%"
"18","","SEA","0.012","43.0%","0.039","44.3%","-0.035","40.7%"
"19","","BAL","0.010","46.7%","0.040","48.1%","-0.041","44.4%"
"20","","LV","-0.005","44.7%","0.097","47.8%","-0.210","38.3%"
"21","","WAS","-0.019","45.3%","0.028","46.6%","-0.091","43.2%"
"22","","NO","-0.027","42.4%","0.040","45.5%","-0.119","38.0%"
"23","","PIT","-0.029","40.7%","0.006","42.8%","-0.094","36.8%"
"24","","MIA","-0.036","42.3%","0.043","47.5%","-0.201","31.6%"
"25","","NYG","-0.058","42.1%","-0.044","42.7%","-0.087","40.8%"
"26","","ATL","-0.063","41.7%","0.004","47.7%","-0.179","31.3%"
"27","","NYJ","-0.073","43.2%","-0.060","44.6%","-0.101","40.2%"
"28","","CHI","-0.074","41.2%","-0.074","42.7%","-0.075","38.8%"
"29","","CAR","-0.101","42.6%","-0.110","43.0%","-0.087","42.0%"
"30","","JAX","-0.104","43.9%","-0.086","43.9%","-0.139","44.0%"
"31","","DET","-0.105","41.4%","-0.111","44.3%","-0.096","36.2%"
"32","","HOU","-0.194","36.3%","-0.148","42.6%","-0.273","25.3%"
