"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","ARI","-0.105","43.9%","-0.100","44.7%","-0.113","42.7%"
"2","","NE","-0.100","41.7%","-0.091","43.8%","-0.114","38.3%"
"3","","BUF","-0.100","40.7%","-0.069","43.9%","-0.149","35.7%"
"4","","DAL","-0.096","41.2%","-0.118","41.9%","-0.057","39.9%"
"5","","CAR","-0.077","40.5%","-0.045","42.4%","-0.118","38.2%"
"6","","NO","-0.067","40.5%","-0.011","44.4%","-0.169","33.3%"
"7","","CIN","-0.037","41.8%","-0.007","45.0%","-0.099","34.9%"
"8","","TB","-0.030","44.9%","-0.015","46.8%","-0.071","39.8%"
"9","","LA","-0.020","44.6%","0.043","48.3%","-0.132","38.1%"
"10","","DEN","-0.018","44.5%","0.003","44.4%","-0.056","44.7%"
"11","","TEN","-0.005","43.3%","0.033","45.0%","-0.087","39.7%"
"12","","IND","-0.005","45.6%","0.064","49.8%","-0.128","38.2%"
"13","","GB","-0.000","46.5%","0.020","47.5%","-0.041","44.5%"
"14","","PHI","0.005","46.6%","0.080","50.1%","-0.110","41.3%"
"15","","MIA","0.008","43.6%","0.049","45.9%","-0.073","39.0%"
"16","","MIN","0.017","44.8%","0.026","46.3%","0.002","42.2%"
"17","","LAC","0.022","47.1%","0.036","45.2%","0.002","49.7%"
"18","","SF","0.030","42.8%","0.114","47.2%","-0.111","35.6%"
"19","","CLE","0.031","42.6%","0.084","45.3%","-0.057","38.0%"
"20","","SEA","0.032","47.4%","0.119","52.8%","-0.105","39.1%"
"21","","BAL","0.034","41.3%","0.117","44.3%","-0.126","35.5%"
"22","","KC","0.034","47.0%","0.079","47.5%","-0.052","46.1%"
"23","","NYG","0.044","47.4%","0.081","49.6%","-0.015","43.8%"
"24","","PIT","0.046","44.7%","0.083","47.4%","-0.010","40.6%"
"25","","ATL","0.056","48.6%","0.175","52.2%","-0.132","42.9%"
"26","","CHI","0.075","46.2%","0.149","49.0%","-0.028","42.4%"
"27","","HOU","0.078","48.8%","0.136","52.4%","0.005","44.5%"
"28","","LV","0.079","46.5%","0.192","50.2%","-0.104","40.6%"
"29","","WAS","0.086","45.1%","0.179","49.1%","-0.101","37.2%"
"30","","DET","0.109","45.2%","0.247","49.8%","-0.066","39.5%"
"31","","JAX","0.121","46.7%","0.239","52.1%","-0.047","39.0%"
"32","","NYJ","0.147","47.6%","0.265","52.0%","-0.009","41.8%"
