away,home
KC,LAC
LV,CLE
NE,IND
WAS,PHI
TEN,PIT
NYJ,MIA
HOU,JAX
DAL,NYG
CAR,BUF
CIN,DEN
ATL,SF
SEA,LA
GB,BAL
NO,TB
MIN,CHI
