"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","TB","0.150","51.7%","0.198","52.4%","0.041","50.0%"
"2","","ARI","0.126","47.8%","0.270","53.5%","-0.059","40.6%"
"3","","GB","0.102","46.0%","0.198","48.8%","-0.054","41.3%"
"4","","LA","0.097","47.8%","0.201","51.1%","-0.090","41.9%"
"5","","IND","0.094","46.0%","0.101","46.8%","0.085","44.9%"
"6","","KC","0.091","50.6%","0.156","52.4%","-0.058","46.4%"
"7","","BUF","0.080","47.4%","0.174","51.8%","-0.101","38.9%"
"8","","LAC","0.075","46.3%","0.129","48.8%","-0.049","40.6%"
"9","","SF","0.074","45.4%","0.163","47.8%","-0.037","42.4%"
"10","","NE","0.056","46.9%","0.136","49.9%","-0.042","43.3%"
"11","","DAL","0.055","46.1%","0.142","49.8%","-0.094","39.8%"
"12","","PHI","0.053","46.8%","0.083","45.2%","0.015","48.8%"
"13","","MIN","0.049","42.8%","0.169","47.8%","-0.140","35.1%"
"14","","DEN","0.035","44.4%","0.107","47.0%","-0.078","40.3%"
"15","","TEN","0.028","46.6%","0.074","52.2%","-0.031","39.5%"
"16","","CLE","0.026","44.2%","0.030","45.2%","0.021","42.9%"
"17","","BAL","0.022","46.9%","0.054","48.6%","-0.028","44.2%"
"18","","LV","0.015","44.9%","0.122","48.3%","-0.191","38.3%"
"19","","WAS","0.015","46.2%","0.095","48.7%","-0.107","42.5%"
"20","","CIN","0.012","45.6%","0.084","49.6%","-0.094","39.7%"
"21","","SEA","-0.015","42.6%","0.004","43.7%","-0.049","40.8%"
"22","","PIT","-0.028","40.3%","0.008","42.5%","-0.096","36.2%"
"23","","MIA","-0.036","42.3%","0.043","47.5%","-0.201","31.6%"
"24","","NO","-0.043","41.9%","0.029","45.0%","-0.148","37.3%"
"25","","NYJ","-0.055","44.6%","-0.036","46.2%","-0.096","41.1%"
"26","","NYG","-0.059","41.5%","-0.029","43.1%","-0.123","38.1%"
"27","","CHI","-0.072","41.5%","-0.069","43.1%","-0.077","39.1%"
"28","","ATL","-0.073","42.1%","-0.009","48.2%","-0.189","30.9%"
"29","","JAX","-0.079","45.1%","-0.056","45.3%","-0.122","44.9%"
"30","","CAR","-0.097","42.1%","-0.111","42.1%","-0.076","42.2%"
"31","","DET","-0.102","41.1%","-0.107","44.5%","-0.092","35.4%"
"32","","HOU","-0.199","35.2%","-0.155","41.5%","-0.274","24.6%"
