Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
BUF,1,-21.0%,1,2,-19.7%,2,-18.8%,1,-24.1%,6,-17.3%,1,-24.2%,1,-28.3%,5,-19.3%,32,13.4%,32,-4.8%
NE,2,-17.0%,2,1,-21.6%,1,-21.6%,2,-17.9%,7,-15.9%,2,-18.4%,3,-16.9%,3,-20.3%,27,8.9%,27,-3.7%
ARI,3,-13.4%,3,4,-12.9%,4,-11.8%,3,-15.3%,15,-10.5%,3,-14.7%,2,-17.2%,15,-11.0%,6,2.9%,21,-1.1%
DAL,4,-11.8%,4,3,-13.6%,3,-12.5%,4,-14.6%,19,-7.4%,4,-10.6%,4,-11.0%,18,-10.0%,16,5.5%,7,2.0%
NO,5,-9.3%,5,5,-8.1%,5,-7.9%,12,4.8%,1,-29.4%,8,-6.7%,15,7.2%,1,-26.6%,14,5.2%,11,1.0%
LAR,6,-6.9%,9,6,-7.5%,6,-7.3%,11,4.3%,2,-21.6%,9,-5.7%,13,3.9%,7,-18.3%,19,5.7%,25,-2.2%
CAR,7,-5.7%,7,11,-5.3%,11,-4.7%,5,-5.4%,20,-6.1%,6,-9.0%,5,-7.8%,17,-10.4%,31,13.1%,28,-3.8%
TB,8,-4.5%,6,10,-5.8%,9,-5.9%,7,-0.4%,9,-13.7%,5,-9.4%,6,-6.2%,8,-16.4%,5,2.8%,26,-2.7%
SF,9,-3.9%,10,7,-6.4%,7,-6.4%,17,7.9%,3,-20.7%,13,0.0%,19,10.3%,10,-14.6%,8,3.3%,6,2.1%
HOU,10,-3.9%,8,9,-6.0%,10,-5.2%,6,-4.8%,28,-2.9%,12,-0.1%,7,-0.8%,29,0.7%,10,4.3%,19,0.0%
IND,11,-3.2%,12,8,-6.2%,8,-6.2%,15,6.9%,4,-18.4%,7,-8.7%,8,-0.2%,2,-21.6%,25,8.0%,29,-3.9%
MIA,12,-0.3%,15,15,-1.9%,14,-1.9%,14,6.1%,14,-10.6%,10,-3.3%,9,0.2%,19,-8.8%,23,7.5%,30,-4.6%
NYG,13,0.0%,11,13,-3.7%,13,-3.3%,8,0.8%,31,-1.0%,15,0.7%,12,3.4%,27,-3.0%,9,4.1%,8,1.6%
GB,14,0.0%,13,12,-3.8%,12,-3.5%,10,2.5%,27,-3.7%,14,0.5%,10,2.9%,26,-3.1%,17,5.5%,12,1.0%
CIN,15,0.4%,16,19,1.3%,18,1.5%,18,8.7%,11,-13.6%,11,-2.4%,14,5.1%,9,-14.8%,11,4.6%,22,-1.3%
CLE,16,0.6%,14,16,-0.8%,16,-0.5%,21,9.7%,13,-11.1%,16,0.8%,17,10.2%,14,-11.4%,30,12.5%,23,-1.6%
MIN,17,1.7%,17,22,2.2%,23,2.0%,13,5.0%,29,-2.6%,19,2.5%,11,3.2%,31,1.6%,13,5.0%,15,0.3%
CHI,18,1.9%,19,23,2.3%,19,1.7%,22,10.9%,18,-8.0%,20,3.6%,20,11.8%,22,-5.4%,24,7.9%,5,2.8%
LAC,19,2.2%,23,20,1.8%,21,1.9%,9,2.3%,32,2.2%,24,6.8%,18,10.3%,32,3.0%,7,3.2%,2,4.1%
DEN,20,2.8%,25,17,0.8%,17,0.6%,16,7.6%,25,-4.4%,22,4.4%,16,8.3%,28,-1.6%,28,10.0%,10,1.2%
SEA,21,3.1%,22,21,2.0%,22,2.0%,26,16.9%,10,-13.7%,25,7.4%,28,23.6%,12,-12.4%,1,1.0%,1,4.7%
LV,22,3.2%,24,24,3.2%,25,3.2%,23,14.2%,12,-12.3%,18,2.2%,22,13.5%,11,-13.6%,2,1.2%,16,0.3%
TEN,23,3.6%,20,18,1.3%,20,1.8%,19,8.9%,22,-5.3%,23,6.0%,21,13.0%,21,-5.8%,20,6.4%,14,0.4%
BAL,24,3.8%,18,25,3.4%,24,2.8%,27,17.3%,5,-17.5%,17,2.2%,24,16.3%,4,-20.1%,21,6.6%,17,0.2%
KC,25,3.8%,26,14,-2.2%,15,-1.9%,20,9.3%,26,-4.2%,27,10.0%,23,16.0%,30,1.2%,29,11.3%,3,3.7%
PHI,26,4.2%,21,26,4.6%,26,4.6%,24,15.5%,16,-10.2%,21,3.9%,25,16.4%,13,-12.2%,18,5.6%,20,-0.4%
PIT,27,7.4%,27,30,9.9%,29,8.7%,25,16.8%,24,-4.7%,26,8.4%,26,18.6%,23,-4.7%,12,4.8%,18,0.0%
DET,28,9.6%,28,28,7.9%,28,7.8%,28,21.7%,23,-5.0%,29,11.0%,27,23.0%,25,-3.5%,4,2.1%,4,3.3%
ATL,29,10.3%,29,29,9.0%,30,8.7%,29,21.9%,21,-5.5%,28,10.6%,29,24.8%,20,-8.7%,3,1.3%,13,0.8%
WAS,30,11.3%,31,31,10.1%,31,9.0%,30,26.1%,8,-14.8%,30,11.8%,30,29.0%,6,-18.7%,15,5.3%,9,1.5%
JAX,31,11.9%,30,27,6.8%,27,6.9%,31,30.1%,17,-9.7%,31,12.7%,32,32.3%,16,-10.5%,26,8.5%,24,-2.0%
NYJ,32,16.4%,32,32,17.7%,32,16.8%,32,31.6%,30,-1.7%,32,15.3%,31,31.3%,24,-3.8%,22,7.4%,31,-4.6%

