Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
TB,1,25.6%,1,1,22.7%,1,22.2%,1,42.0%,2,9.5%,1,24.3%,1,41.6%,3,6.3%,7,4.5%,9,-0.9%
LAC,2,15.5%,2,2,16.5%,2,15.5%,6,32.2%,10,-3.5%,3,16.0%,6,32.4%,9,-2.6%,19,7.9%,25,0.9%
GB,3,15.0%,5,3,15.4%,3,15.5%,5,33.6%,9,-3.4%,2,16.6%,4,37.9%,14,-5.6%,18,7.6%,22,0.5%
SF,4,13.8%,3,4,13.7%,4,12.9%,4,34.1%,6,2.6%,6,11.8%,8,28.9%,6,3.8%,10,6.0%,18,-0.1%
LAR,5,13.6%,4,8,8.8%,9,8.7%,7,31.8%,11,-3.9%,4,14.7%,5,33.8%,11,-4.0%,21,8.4%,21,0.1%
KC,6,12.0%,6,10,7.8%,8,8.8%,9,24.3%,5,2.8%,12,8.7%,12,22.0%,8,-2.6%,27,9.8%,19,-0.1%
DAL,7,10.7%,7,11,6.0%,11,6.1%,8,29.2%,12,-5.2%,8,10.3%,9,28.9%,15,-5.9%,20,8.3%,11,-0.7%
MIN,8,9.3%,8,7,9.7%,7,9.4%,3,37.2%,29,-19.3%,9,9.5%,3,38.2%,29,-20.0%,5,4.0%,13,-0.5%
IND,9,8.8%,9,6,9.9%,6,9.9%,18,13.8%,1,12.7%,13,7.6%,17,14.0%,2,9.9%,16,7.4%,16,-0.2%
PHI,10,8.2%,12,9,8.3%,10,8.3%,15,16.9%,4,8.2%,11,9.1%,13,21.6%,4,5.2%,3,3.6%,26,1.0%
NE,11,8.1%,11,5,11.3%,5,11.3%,10,23.9%,8,-0.5%,10,9.2%,10,24.9%,7,0.6%,25,9.5%,12,-0.5%
ARI,12,7.8%,10,12,5.5%,12,5.3%,2,38.4%,25,-14.1%,5,13.4%,2,41.0%,12,-5.2%,17,7.5%,17,-0.1%
CLE,13,5.8%,13,16,1.7%,15,2.1%,19,11.8%,3,9.0%,15,6.2%,22,8.4%,1,13.8%,24,9.4%,20,0.0%
BUF,14,3.4%,16,13,2.4%,13,2.6%,12,21.2%,21,-11.6%,7,11.1%,7,30.2%,13,-5.5%,32,17.2%,28,1.7%
DEN,15,3.0%,15,15,2.2%,16,2.0%,13,18.2%,14,-5.9%,14,7.4%,11,24.6%,10,-3.8%,4,4.0%,31,4.4%
SEA,16,0.9%,14,19,-5.0%,19,-3.8%,17,14.6%,18,-8.7%,18,2.8%,16,18.8%,21,-9.8%,12,6.9%,14,-0.4%
LV,17,0.8%,18,14,2.4%,14,2.2%,14,18.0%,23,-13.8%,17,4.0%,15,20.0%,19,-8.5%,13,7.0%,29,2.2%
WAS,18,0.3%,19,17,-0.1%,17,-0.7%,11,21.3%,27,-15.8%,19,1.0%,14,20.3%,25,-13.2%,1,3.1%,7,-1.3%
BAL,19,0.2%,17,18,-3.8%,18,-3.1%,22,7.0%,7,1.1%,16,5.5%,18,13.8%,5,4.8%,15,7.1%,30,2.5%
PIT,20,-3.5%,23,20,-5.0%,20,-4.9%,20,10.0%,26,-14.8%,21,-4.1%,21,9.2%,27,-15.0%,9,5.4%,24,0.6%
NO,21,-3.5%,20,21,-6.1%,22,-6.1%,16,15.8%,24,-13.8%,22,-6.2%,19,11.5%,26,-14.7%,28,10.3%,6,-2.3%
TEN,22,-4.9%,22,24,-6.9%,21,-6.0%,23,6.1%,16,-7.1%,23,-6.9%,24,3.7%,20,-8.8%,22,8.5%,2,-3.6%
CIN,23,-5.9%,21,23,-6.3%,23,-6.2%,24,1.9%,20,-9.5%,20,0.0%,20,10.2%,16,-6.4%,23,8.7%,32,5.5%
NYJ,24,-8.1%,24,22,-6.1%,24,-6.8%,25,-4.4%,15,-6.3%,24,-11.5%,27,-8.8%,18,-8.4%,8,4.6%,1,-3.9%
MIA,25,-10.0%,26,25,-9.8%,25,-9.8%,21,9.0%,30,-28.3%,26,-12.9%,23,7.2%,31,-33.4%,2,3.5%,5,-2.4%
CHI,26,-13.1%,27,26,-13.0%,26,-12.7%,28,-8.1%,17,-7.1%,27,-13.6%,28,-9.0%,17,-7.2%,26,9.8%,23,0.5%
JAX,27,-13.6%,25,27,-15.7%,27,-15.3%,29,-8.4%,13,-5.4%,28,-17.5%,29,-12.1%,22,-10.0%,14,7.1%,4,-2.7%
NYG,28,-14.0%,28,28,-16.1%,28,-15.4%,27,-5.5%,28,-17.5%,25,-12.6%,25,-3.2%,28,-17.3%,11,6.7%,15,-0.2%
DET,29,-19.9%,30,30,-22.2%,30,-20.9%,30,-15.4%,22,-13.7%,30,-19.8%,30,-15.9%,24,-12.6%,6,4.2%,27,1.1%
CAR,30,-20.4%,29,31,-23.1%,31,-21.8%,31,-18.8%,19,-9.5%,31,-21.9%,31,-20.3%,23,-11.2%,30,14.4%,8,-1.0%
ATL,31,-20.8%,31,29,-21.0%,29,-20.0%,26,-5.1%,31,-34.0%,29,-19.2%,26,-4.2%,30,-31.0%,29,11.2%,10,-0.8%
HOU,32,-33.2%,32,32,-38.4%,32,-37.2%,32,-21.4%,32,-43.4%,32,-34.9%,32,-23.8%,32,-44.3%,31,15.4%,3,-3.2%

