away,home
PIT,MIN
SEA,HOU
NO,NYJ
LV,KC
JAX,TEN
DAL,WAS
BAL,CLE
ATL,CAR
NYG,LAC
DET,DEN
SF,CIN
BUF,TB
CHI,GB
LA,ARI
