"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","ARI","-0.125","44.0%","-0.120","44.7%","-0.135","42.7%"
"2","","BUF","-0.122","40.9%","-0.101","42.7%","-0.160","37.6%"
"3","","CAR","-0.102","40.6%","-0.081","42.0%","-0.131","38.7%"
"4","","NE","-0.093","41.9%","-0.078","44.0%","-0.118","38.2%"
"5","","DAL","-0.075","42.8%","-0.090","44.2%","-0.046","40.2%"
"6","","NO","-0.059","41.5%","0.014","45.1%","-0.184","35.3%"
"7","","TB","-0.041","44.2%","0.001","47.3%","-0.152","36.1%"
"8","","CIN","-0.024","42.4%","0.019","45.9%","-0.110","35.2%"
"9","","LA","0.004","46.2%","0.042","49.7%","-0.064","40.2%"
"10","","PHI","0.005","47.0%","0.076","50.0%","-0.100","42.5%"
"11","","DEN","0.007","44.3%","0.042","44.6%","-0.049","43.8%"
"12","","TEN","0.010","44.3%","0.048","45.9%","-0.072","41.1%"
"13","","GB","0.021","47.6%","0.046","49.0%","-0.026","45.0%"
"14","","MIN","0.021","44.5%","0.017","45.6%","0.029","42.5%"
"15","","IND","0.024","45.2%","0.134","51.3%","-0.170","34.3%"
"16","","PIT","0.032","44.4%","0.092","47.7%","-0.067","39.0%"
"17","","SF","0.038","43.4%","0.128","47.7%","-0.110","36.4%"
"18","","MIA","0.047","45.5%","0.120","49.2%","-0.094","38.3%"
"19","","BAL","0.048","41.3%","0.124","44.0%","-0.104","35.7%"
"20","","LV","0.049","45.7%","0.152","48.4%","-0.114","41.6%"
"21","","SEA","0.055","47.1%","0.145","52.6%","-0.087","38.3%"
"22","","CHI","0.057","45.8%","0.109","47.6%","-0.018","43.2%"
"23","","NYG","0.057","47.6%","0.096","49.9%","-0.009","43.7%"
"24","","LAC","0.059","48.9%","0.080","47.1%","0.032","51.2%"
"25","","HOU","0.062","49.2%","0.139","53.6%","-0.045","43.1%"
"26","","CLE","0.068","42.5%","0.136","45.6%","-0.044","37.3%"
"27","","ATL","0.072","49.0%","0.208","53.6%","-0.129","42.2%"
"28","","KC","0.081","47.3%","0.141","48.2%","-0.029","45.7%"
"29","","DET","0.107","45.0%","0.252","49.4%","-0.076","39.3%"
"30","","JAX","0.120","46.8%","0.239","51.9%","-0.052","39.3%"
"31","","WAS","0.130","46.3%","0.246","50.8%","-0.091","37.7%"
"32","","NYJ","0.168","49.0%","0.288","52.5%","-0.012","43.7%"
