away,home
CHI,DET
LV,DAL
BUF,NO
TEN,NE
TB,IND
PIT,CIN
PHI,NYG
NYJ,HOU
CAR,MIA
ATL,JAX
LAC,DEN
MIN,SF
LAC,GB
CLE,BAL
SEA,WAS
