Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
BUF,1,33.1%,4,6-3,1,34.1%,1,25.6%,14,4.7%,1,-25.3%,3,3.1%,12,5.9,1,52.6%,32,-15.0%,11,2.2%,32,33.3%
TB,2,28.1%,2,6-3,2,27.0%,2,24.7%,1,24.6%,9,-4.5%,23,-1.1%,3,7.5,4,27.4%,16,0.5%,25,-4.1%,6,7.3%
DAL,3,27.5%,5,7-2,3,26.8%,4,19.2%,4,14.6%,4,-13.7%,22,-0.8%,2,8.1,2,29.0%,14,1.1%,12,1.7%,11,10.3%
ARI,4,24.9%,1,8-2,5,22.7%,5,17.0%,11,7.5%,2,-14.9%,6,2.5%,4,7.0,3,28.9%,13,1.6%,9,2.8%,18,12.1%
NE,5,20.1%,13,6-4,4,24.6%,3,19.3%,16,4.2%,5,-13.6%,8,2.3%,8,6.1,5,20.9%,26,-4.2%,17,-0.9%,29,22.0%
LAR,6,18.6%,3,7-3,7,16.1%,6,14.7%,2,15.2%,7,-5.9%,27,-2.5%,1,8.5,6,18.5%,20,-0.2%,1,7.4%,13,10.8%
SF,7,17.2%,9,4-5,6,18.5%,7,14.5%,3,15.0%,13,-0.6%,10,1.6%,9,6.1,12,7.5%,5,5.3%,30,-8.1%,5,6.9%
NO,8,16.2%,8,5-4,8,15.2%,8,11.4%,15,4.5%,6,-10.7%,16,0.9%,6,6.4,7,16.8%,18,0.0%,16,-0.1%,26,18.3%
MIN,9,13.6%,11,4-5,9,14.9%,9,11.4%,12,6.5%,8,-5.5%,11,1.6%,7,6.4,10,12.9%,9,2.7%,23,-2.8%,1,3.4%
IND,10,8.2%,10,5-5,10,11.2%,13,7.7%,17,4.0%,10,-3.3%,17,0.9%,13,5.9,8,16.4%,30,-5.5%,3,5.9%,4,6.2%
BAL,11,7.3%,7,6-3,12,7.4%,11,10.0%,10,8.0%,25,5.2%,2,4.5%,16,4.9,9,16.1%,29,-5.2%,21,-1.7%,20,12.6%
GB,12,6.8%,15,8-2,11,8.9%,10,10.3%,7,9.3%,11,-2.2%,30,-4.7%,5,6.4,11,9.3%,22,-0.4%,14,1.2%,19,12.6%
SEA,13,6.2%,12,3-6,17,3.0%,14,5.6%,9,8.1%,21,3.2%,12,1.3%,15,5.2,14,4.7%,4,5.6%,15,0.0%,2,4.2%
KC,14,4.8%,17,6-4,13,5.0%,12,8.8%,5,11.3%,30,11.1%,1,4.6%,11,5.9,20,-2.5%,8,2.9%,19,-1.4%,10,9.3%
PHI,15,4.7%,18,4-6,14,4.9%,16,1.2%,8,8.5%,19,3.0%,21,-0.8%,14,5.6,13,6.1%,24,-0.8%,24,-3.5%,8,8.8%
LAC,16,2.8%,16,5-4,16,3.5%,17,0.5%,6,11.0%,18,2.2%,31,-6.0%,17,4.8,19,-2.0%,1,6.9%,31,-9.5%,9,8.9%
CLE,17,2.0%,6,5-5,18,-0.8%,18,0.0%,13,5.8%,26,6.4%,5,2.7%,10,6.0,15,2.8%,23,-0.6%,28,-5.3%,30,25.8%
TEN,18,0.7%,14,8-2,15,3.6%,15,2.1%,19,-1.8%,12,-1.4%,14,1.2%,18,4.8,21,-3.9%,2,6.5%,32,-10.7%,21,13.0%
CAR,19,-5.5%,26,5-5,22,-9.0%,24,-9.5%,30,-19.6%,3,-14.2%,19,-0.1%,25,3.7,22,-5.7%,21,-0.3%,4,5.7%,31,32.5%
DEN,20,-5.6%,20,5-5,20,-8.3%,21,-6.2%,18,3.3%,24,4.2%,29,-4.6%,23,4.1,17,-0.3%,28,-5.0%,27,-5.1%,23,13.7%
PIT,21,-7.1%,19,5-3-1,19,-6.8%,19,-2.7%,22,-6.7%,14,0.1%,20,-0.3%,21,4.3,24,-7.6%,25,-2.9%,7,3.4%,24,14.9%
WAS,22,-8.0%,24,3-6,21,-8.6%,20,-6.1%,20,-1.8%,27,9.1%,4,2.9%,19,4.4,25,-8.1%,6,4.2%,5,5.6%,15,11.4%
LV,23,-10.3%,21,5-4,24,-11.1%,22,-8.2%,21,-3.9%,23,4.0%,26,-2.4%,20,4.4,18,-1.0%,27,-4.5%,10,2.6%,14,11.3%
NYG,24,-10.3%,23,3-6,23,-9.4%,23,-9.2%,25,-11.6%,15,0.6%,9,1.9%,24,4.0,23,-7.6%,19,0.0%,8,2.9%,16,11.6%
CIN,25,-11.3%,22,5-4,25,-14.1%,25,-11.6%,23,-9.0%,20,3.1%,18,0.9%,22,4.2,16,0.0%,31,-8.9%,13,1.4%,28,20.5%
CHI,26,-17.4%,25,3-6,26,-16.9%,26,-11.9%,27,-15.1%,22,3.5%,13,1.2%,29,2.6,26,-16.0%,12,1.6%,6,4.1%,27,19.4%
