Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
TB,1,24.6%,1,1,23.6%,1,20.5%,1,46.4%,6,2.4%,1,21.9%,1,44.4%,9,-1.8%,9,5.8%,10,-1.5%
LAR,2,15.2%,2,4,12.4%,3,11.2%,6,33.9%,9,-2.7%,3,14.9%,4,35.2%,14,-5.5%,24,9.4%,17,-0.5%
SF,3,15.0%,6,2,15.2%,6,10.2%,5,34.7%,7,1.6%,10,9.0%,14,24.6%,7,0.1%,14,6.9%,5,-2.3%
DAL,4,14.6%,3,3,12.6%,5,10.5%,2,42.3%,17,-10.3%,4,14.0%,2,40.0%,17,-8.7%,13,6.8%,9,-1.6%
KC,5,11.3%,10,8,9.0%,2,12.2%,8,27.0%,11,-3.3%,11,8.5%,13,25.3%,16,-8.6%,25,9.5%,20,0.2%
LAC,6,11.0%,9,5,11.3%,7,7.9%,9,26.9%,15,-5.7%,6,12.5%,9,28.1%,10,-3.7%,11,6.7%,21,0.7%
GB,7,9.3%,11,7,9.2%,4,11.0%,11,24.0%,13,-3.9%,7,11.3%,7,29.4%,15,-6.4%,15,7.3%,26,1.4%
PHI,8,8.5%,13,6,9.6%,11,5.8%,13,21.8%,4,3.0%,9,10.1%,10,26.2%,5,1.4%,1,2.1%,25,1.2%
SEA,9,8.1%,8,16,3.5%,9,6.5%,10,25.0%,12,-3.4%,12,8.0%,8,29.3%,20,-8.9%,18,8.0%,6,-2.1%
BAL,10,8.0%,7,9,7.6%,8,7.0%,16,17.3%,3,3.7%,5,13.7%,15,24.0%,2,8.4%,8,5.8%,27,3.0%
ARI,11,7.5%,4,11,5.9%,13,4.9%,3,37.0%,22,-14.3%,8,10.4%,6,33.1%,11,-4.1%,17,7.9%,13,-1.2%
MIN,12,6.5%,15,12,5.8%,10,5.9%,4,36.4%,29,-22.8%,17,5.3%,5,34.5%,29,-23.0%,10,6.0%,11,-1.3%
CLE,13,5.8%,5,17,3.2%,14,4.2%,18,12.9%,1,8.7%,13,6.8%,21,9.2%,1,15.0%,26,10.1%,16,-0.8%
BUF,14,4.7%,19,13,5.7%,12,5.3%,12,23.4%,18,-11.2%,2,16.6%,3,35.4%,6,1.2%,32,20.5%,32,6.0%
NO,15,4.5%,17,15,4.6%,16,2.4%,7,29.8%,19,-11.4%,18,3.7%,11,26.1%,21,-9.0%,23,9.4%,14,-1.1%
NE,16,4.2%,21,10,7.0%,15,3.9%,15,18.5%,8,-2.1%,16,5.3%,16,19.2%,8,-0.5%,21,9.0%,23,1.0%
IND,17,4.0%,12,14,5.3%,17,2.0%,20,11.6%,5,2.9%,15,6.0%,18,15.4%,3,2.7%,12,6.8%,28,3.3%
DEN,18,3.3%,14,18,2.4%,18,1.6%,14,20.3%,16,-7.8%,14,6.0%,12,26.0%,19,-8.9%,3,4.6%,30,4.6%
TEN,19,-1.8%,16,19,-1.8%,19,0.2%,21,9.5%,10,-2.9%,22,-3.3%,22,8.9%,13,-5.4%,22,9.2%,8,-1.8%
WAS,20,-1.8%,22,20,-2.8%,21,-4.8%,19,12.7%,25,-16.1%,20,-0.2%,20,12.3%,23,-11.5%,5,4.7%,12,-1.2%
LV,21,-3.9%,20,21,-3.5%,20,-2.2%,17,13.4%,27,-16.3%,19,1.4%,17,17.5%,18,-8.8%,19,8.3%,29,3.5%
PIT,22,-6.7%,18,22,-7.0%,22,-5.9%,22,6.4%,23,-14.4%,23,-5.6%,23,7.9%,24,-13.8%,4,4.7%,22,0.8%
CIN,23,-9.0%,23,24,-8.9%,23,-7.5%,24,2.2%,24,-15.3%,21,-0.4%,19,13.9%,22,-10.6%,29,12.4%,31,5.4%
JAX,24,-9.6%,24,23,-7.4%,24,-8.2%,28,-9.8%,2,7.7%,26,-14.2%,29,-13.8%,4,1.8%,16,7.8%,4,-3.4%
NYG,25,-11.6%,26,26,-12.9%,25,-10.4%,25,-0.8%,28,-18.0%,24,-9.7%,25,2.1%,28,-17.7%,20,8.5%,18,-0.3%
NYJ,26,-11.9%,27,25,-10.0%,28,-12.0%,27,-5.4%,21,-12.6%,27,-16.1%,27,-10.0%,26,-16.3%,6,4.9%,2,-5.6%
CHI,27,-15.1%,29,27,-12.9%,26,-11.0%,29,-13.8%,14,-5.3%,25,-13.6%,28,-10.9%,12,-5.2%,31,15.3%,24,1.2%
MIA,28,-16.1%,28,29,-15.7%,27,-11.7%,26,-2.8%,30,-28.8%,29,-19.0%,26,-3.6%,30,-36.4%,2,3.9%,3,-3.7%
ATL,29,-17.4%,25,28,-15.0%,29,-12.1%,23,4.5%,32,-42.1%,28,-16.5%,24,4.9%,31,-40.4%,27,10.3%,15,-1.0%
CAR,30,-19.6%,31,30,-22.4%,31,-19.0%,30,-16.0%,20,-12.1%,31,-22.7%,32,-19.6%,25,-14.8%,28,10.7%,7,-1.9%
DET,31,-21.4%,30,31,-24.3%,30,-16.7%,32,-17.5%,26,-16.3%,30,-22.2%,30,-18.5%,27,-16.8%,7,5.5%,19,0.1%
HOU,32,-27.3%,32,32,-30.4%,32,-27.0%,31,-16.6%,31,-36.0%,32,-31.9%,31,-19.4%,32,-43.2%,30,14.6%,1,-6.6%

