"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","TB","0.150","50.8%","0.204","51.8%","0.025","48.3%"
"2","","KC","0.125","51.7%","0.209","54.3%","-0.079","45.7%"
"3","","BUF","0.113","47.6%","0.210","50.9%","-0.076","41.1%"
"4","","ARI","0.111","46.9%","0.234","52.6%","-0.051","39.6%"
"5","","LA","0.105","47.9%","0.219","51.8%","-0.101","40.7%"
"6","","DAL","0.101","48.8%","0.239","53.3%","-0.108","42.0%"
"7","","GB","0.082","46.5%","0.160","49.0%","-0.043","42.6%"
"8","","LAC","0.080","45.4%","0.127","47.7%","-0.020","40.5%"
"9","","IND","0.078","44.1%","0.104","46.5%","0.038","40.4%"
"10","","PHI","0.065","47.5%","0.099","46.3%","0.014","49.4%"
"11","","TEN","0.061","46.1%","0.137","52.9%","-0.034","37.6%"
"12","","SF","0.059","44.7%","0.154","46.5%","-0.074","42.3%"
"13","","NE","0.057","47.4%","0.124","48.9%","-0.037","45.1%"
"14","","DEN","0.051","44.3%","0.144","47.5%","-0.103","39.2%"
"15","","CLE","0.048","45.5%","0.050","46.6%","0.045","44.2%"
"16","","BAL","0.041","49.0%","0.074","50.1%","-0.013","47.1%"
"17","","MIN","0.029","41.5%","0.134","46.6%","-0.131","33.6%"
"18","","NO","0.027","43.9%","0.138","47.4%","-0.123","39.1%"
"19","","CIN","0.027","45.3%","0.102","49.6%","-0.090","38.6%"
"20","","LV","0.017","45.5%","0.115","48.0%","-0.176","40.5%"
"21","","SEA","0.001","44.3%","0.036","44.6%","-0.059","43.7%"
"22","","WAS","-0.017","44.9%","0.031","46.1%","-0.105","42.7%"
"23","","PIT","-0.022","39.3%","0.013","41.7%","-0.083","35.1%"
"24","","NYG","-0.024","42.8%","0.031","45.1%","-0.136","38.0%"
"25","","ATL","-0.048","41.7%","0.045","48.5%","-0.219","29.3%"
"26","","JAX","-0.057","46.2%","-0.064","46.1%","-0.044","46.2%"
"27","","MIA","-0.069","41.5%","0.001","45.5%","-0.239","31.4%"
"28","","NYJ","-0.073","44.2%","-0.038","46.2%","-0.155","39.7%"
"29","","CHI","-0.081","42.6%","-0.092","44.3%","-0.067","40.2%"
"30","","CAR","-0.093","42.8%","-0.091","43.3%","-0.095","42.1%"
"31","","DET","-0.098","41.5%","-0.115","44.4%","-0.065","36.4%"
"32","","HOU","-0.169","36.8%","-0.113","43.1%","-0.270","25.5%"
