"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","BUF","-0.171","39.3%","-0.133","42.2%","-0.254","33.1%"
"2","","CAR","-0.136","39.7%","-0.131","41.0%","-0.143","37.8%"
"3","","ARI","-0.126","44.6%","-0.116","45.6%","-0.143","42.8%"
"4","","DAL","-0.070","42.5%","-0.075","44.3%","-0.061","39.1%"
"5","","NO","-0.065","41.6%","0.013","46.2%","-0.217","32.5%"
"6","","NE","-0.054","42.4%","-0.029","44.2%","-0.095","39.5%"
"7","","TB","-0.013","45.0%","0.047","48.9%","-0.168","34.9%"
"8","","MIN","-0.012","44.1%","-0.041","44.7%","0.038","43.0%"
"9","","GB","-0.012","47.2%","-0.011","48.1%","-0.014","45.5%"
"10","","CIN","-0.005","42.0%","0.041","45.5%","-0.100","34.8%"
"11","","LA","0.004","46.2%","0.042","49.7%","-0.064","40.2%"
"12","","PIT","0.004","43.3%","0.040","45.7%","-0.052","39.4%"
"13","","DEN","0.007","44.3%","0.042","44.6%","-0.049","43.8%"
"14","","TEN","0.018","45.4%","0.037","45.6%","-0.024","44.9%"
"15","","PHI","0.021","47.7%","0.095","50.9%","-0.087","43.1%"
"16","","IND","0.029","44.5%","0.160","51.4%","-0.192","33.1%"
"17","","SEA","0.036","46.1%","0.113","51.7%","-0.087","37.1%"
"18","","LV","0.046","45.1%","0.144","47.3%","-0.119","41.4%"
"19","","SF","0.047","43.4%","0.142","47.6%","-0.103","36.6%"
"20","","MIA","0.048","45.1%","0.130","49.1%","-0.109","37.4%"
"21","","NYG","0.053","47.0%","0.090","49.2%","-0.009","43.5%"
"22","","BAL","0.054","41.8%","0.131","45.4%","-0.101","34.6%"
"23","","LAC","0.059","49.0%","0.075","46.8%","0.041","51.7%"
"24","","CHI","0.073","46.4%","0.134","48.3%","-0.013","43.6%"
"25","","ATL","0.084","48.8%","0.227","53.1%","-0.134","42.3%"
"26","","CLE","0.091","43.3%","0.176","46.8%","-0.053","37.6%"
"27","","HOU","0.095","48.9%","0.191","53.6%","-0.032","42.7%"
"28","","JAX","0.105","46.3%","0.223","50.8%","-0.077","39.3%"
"29","","KC","0.115","48.5%","0.195","49.7%","-0.026","46.3%"
"30","","DET","0.124","45.5%","0.285","50.5%","-0.081","39.3%"
"31","","WAS","0.131","46.3%","0.254","50.8%","-0.110","37.7%"
"32","","NYJ","0.165","49.1%","0.273","51.6%","0.001","45.2%"
