Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
NO,1,-45.8%,-,1,-45.8%,2,-7.9%,1,-42.3%,1,-53.2%,2,-52.0%,2,-51.4%,3,-53.2%,1,0.0%,32,-58.9%
ARI,2,-43.0%,-,2,-43.0%,14,-0.9%,4,-39.0%,3,-50.1%,1,-52.0%,1,-53.1%,4,-50.1%,1,0.0%,31,-52.4%
CAR,3,-35.8%,-,3,-35.8%,16,-0.2%,5,-32.0%,5,-42.0%,4,-29.5%,7,-21.7%,6,-42.0%,1,0.0%,28,-31.6%
PHI,4,-31.8%,-,4,-31.8%,17,1.0%,2,-42.3%,19,-16.1%,3,-31.8%,3,-42.3%,19,-16.1%,1,0.0%,30,-47.4%
PIT,5,-28.7%,-,5,-28.7%,1,-9.9%,6,-26.3%,10,-33.2%,7,-19.1%,8,-19.4%,16,-18.6%,1,0.0%,27,-26.1%
HOU,6,-28.0%,-,6,-28.0%,24,3.6%,3,-39.0%,27,-1.5%,5,-21.8%,5,-30.3%,27,-1.5%,1,0.0%,29,-38.8%
LAC,7,-14.6%,-,7,-14.6%,22,2.5%,16,13.2%,6,-40.5%,14,-5.2%,21,27.4%,9,-35.5%,1,0.0%,24,-12.2%
BUF,8,-13.1%,-,8,-13.1%,4,-6.8%,12,0.2%,9,-36.5%,12,-6.6%,14,10.3%,8,-36.5%,1,0.0%,26,-13.9%
LV,9,-11.5%,-,9,-11.5%,20,2.1%,10,-7.6%,17,-16.2%,6,-20.3%,6,-23.8%,18,-16.2%,1,0.0%,23,-12.1%
MIA,10,-9.8%,-,10,-9.8%,13,-1.7%,13,6.9%,14,-26.6%,13,-6.1%,18,21.9%,10,-34.3%,1,0.0%,18,-3.6%
LAR,11,-9.1%,-,11,-9.1%,11,-2.5%,7,-23.2%,31,12.2%,8,-13.7%,4,-30.8%,31,12.2%,1,0.0%,22,-7.2%
WAS,12,-9.0%,-,12,-9.0%,6,-6.0%,11,0.2%,15,-23.6%,10,-7.6%,11,2.4%,15,-23.6%,1,0.0%,20,-4.9%
SF,13,-8.3%,-,13,-8.3%,3,-6.9%,9,-8.8%,22,-6.9%,9,-8.3%,10,-8.8%,22,-6.9%,1,0.0%,25,-12.9%
SEA,14,-7.2%,-,14,-7.2%,19,1.4%,15,9.5%,12,-27.7%,11,-7.2%,13,9.5%,12,-27.7%,1,0.0%,19,-3.7%
JAX,15,-2.1%,-,15,-2.1%,30,6.8%,19,21.3%,13,-26.7%,19,1.9%,22,29.2%,13,-26.7%,1,0.0%,17,-1.7%
NE,16,-1.4%,-,16,-1.4%,5,-6.3%,8,-9.0%,29,6.6%,15,-1.4%,9,-9.0%,29,6.6%,1,0.0%,14,5.0%
BAL,17,1.8%,-,17,1.8%,8,-4.8%,14,8.8%,20,-14.4%,18,1.8%,12,8.8%,20,-14.4%,1,0.0%,21,-6.8%
MIN,18,2.4%,-,18,2.4%,15,-0.4%,21,26.8%,16,-17.4%,20,2.4%,20,26.8%,17,-17.4%,1,0.0%,12,12.8%
CIN,19,5.3%,-,19,5.3%,25,4.2%,24,36.7%,2,-51.7%,16,1.1%,24,36.7%,1,-63.6%,1,0.0%,16,-1.1%
DEN,20,5.8%,-,20,5.8%,9,-4.0%,18,20.4%,11,-31.6%,17,1.5%,15,14.4%,11,-31.6%,1,0.0%,11,15.8%
NYJ,21,8.1%,-,21,8.1%,29,6.1%,17,15.4%,23,-3.3%,22,8.1%,16,15.4%,23,-3.3%,1,0.0%,15,0.2%
DAL,22,13.6%,-,22,13.6%,21,2.1%,22,29.0%,7,-37.7%,21,5.7%,19,24.3%,2,-55.7%,1,0.0%,10,17.5%
NYG,23,15.2%,-,23,15.2%,23,3.4%,20,24.6%,26,-1.7%,23,11.2%,17,18.3%,26,-1.7%,1,0.0%,6,26.6%
TB,24,16.3%,-,24,16.3%,7,-5.0%,23,33.4%,4,-42.7%,24,16.3%,23,33.4%,5,-42.7%,1,0.0%,8,22.9%
IND,25,23.5%,-,25,23.5%,10,-2.6%,28,58.7%,18,-16.1%,25,18.9%,29,58.7%,14,-25.9%,1,0.0%,5,29.5%
TEN,26,23.7%,-,26,23.7%,32,9.5%,26,47.0%,25,-2.4%,26,23.7%,26,47.0%,25,-2.4%,1,0.0%,13,11.7%
ATL,27,25.5%,-,27,25.5%,27,5.6%,27,47.2%,24,-3.3%,27,25.5%,27,47.2%,24,-3.3%,1,0.0%,9,21.8%
CLE,28,30.3%,-,28,30.3%,28,6.0%,29,62.2%,8,-37.0%,28,30.3%,30,62.2%,7,-37.0%,1,0.0%,4,32.1%
GB,29,31.9%,-,29,31.9%,18,1.1%,32,91.7%,21,-10.9%,30,31.9%,32,91.7%,21,-10.9%,1,0.0%,7,25.4%
DET,30,35.9%,-,30,35.9%,31,8.8%,30,64.6%,30,8.0%,29,31.6%,28,55.9%,30,8.0%,1,0.0%,3,35.8%
KC,31,41.9%,-,31,41.9%,26,5.5%,25,44.5%,32,39.0%,31,37.2%,25,44.5%,32,29.2%,1,0.0%,1,57.1%
CHI,32,45.2%,-,32,45.2%,12,-1.8%,31,75.8%,28,0.4%,32,45.2%,31,75.8%,28,0.4%,1,0.0%,2,56.6%

