"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","LA","0.367","47.9%","0.615","53.6%","0.021","40.0%"
"2","","KC","0.340","50.0%","0.544","56.8%","-0.161","33.3%"
"3","","DEN","0.281","45.5%","0.473","56.1%","-0.032","28.0%"
"4","","NO","0.274","51.7%","0.832","68.0%","-0.125","40.0%"
"5","","SF","0.250","50.9%","0.679","59.3%","-0.196","42.3%"
"6","","CLE","0.209","55.9%","0.348","54.5%","0.034","57.7%"
"7","","ARI","0.197","40.6%","0.405","44.4%","-0.031","36.4%"
"8","","SEA","0.184","48.1%","0.385","50.0%","-0.068","45.8%"
"9","","HOU","0.155","42.9%","0.440","52.5%","-0.154","32.4%"
"10","","PHI","0.146","55.9%","0.303","57.5%","-0.077","53.6%"
"11","","DAL","0.130","51.2%","0.222","56.5%","-0.292","26.7%"
"12","","LAC","0.095","47.4%","0.181","55.8%","-0.078","30.8%"
"13","","NE","0.056","49.3%","0.152","52.3%","-0.082","45.2%"
"14","","TB","0.054","52.3%","0.156","54.0%","-0.283","46.7%"
"15","","MIN","0.040","41.5%","0.182","45.0%","-0.346","31.8%"
"16","","LV","0.038","44.0%","0.209","50.0%","-0.443","27.3%"
"17","","NYG","0.019","45.8%","0.026","47.7%","0.001","40.0%"
"18","","PIT","0.010","41.8%","0.079","50.0%","-0.143","23.5%"
"19","","CIN","0.007","39.7%","0.202","46.9%","-0.166","33.3%"
"20","","MIA","0.007","45.1%","0.018","46.7%","-0.009","42.9%"
"21","","BAL","-0.033","41.8%","0.084","51.3%","-0.196","28.6%"
"22","","CAR","-0.038","43.3%","0.054","44.4%","-0.176","41.7%"
"23","","DET","-0.040","46.7%","-0.057","46.4%","0.015","47.6%"
"24","","WAS","-0.049","41.8%","0.067","43.3%","-0.188","40.0%"
"25","","JAX","-0.057","44.4%","-0.075","41.1%","0.005","56.3%"
"26","","IND","-0.088","46.7%","0.059","53.2%","-0.336","35.7%"
"27","","CHI","-0.096","53.6%","-0.209","55.6%","0.116","50.0%"
"28","","BUF","-0.132","40.0%","-0.124","41.0%","-0.153","37.5%"
"29","","NYJ","-0.158","36.5%","-0.119","37.8%","-0.256","33.3%"
"30","","ATL","-0.277","35.2%","-0.382","38.6%","-0.107","29.6%"
"31","","TEN","-0.317","43.1%","-0.310","48.9%","-0.332","30.0%"
"32","","GB","-0.366","38.6%","-0.396","41.5%","-0.290","31.3%"
