Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
NO,1,78.4%,-,1-0,1,78.4%,6,9.8%,7,25.4%,1,-45.8%,5,7.1%,2,0.8,1,86.3%,32,-94.6%,26,-6.7%,1,0.0%
LAR,2,67.2%,-,1-0,2,67.2%,4,12.1%,2,56.6%,11,-9.1%,11,1.5%,1,1.0,2,73.5%,28,-50.9%,15,-0.4%,1,0.0%
PHI,3,56.5%,-,1-0,3,56.5%,22,-5.8%,9,21.8%,4,-31.8%,9,2.8%,3,0.8,4,58.9%,30,-75.5%,10,4.8%,1,0.0%
ARI,4,52.4%,-,1-0,4,52.4%,17,2.7%,13,11.7%,2,-43.0%,20,-2.3%,8,0.6,3,63.9%,31,-89.9%,7,6.0%,1,0.0%
SF,5,39.0%,-,1-0,5,39.0%,7,9.6%,3,35.8%,13,-8.3%,25,-5.1%,19,0.5,7,29.2%,29,-54.6%,13,2.6%,1,0.0%
SEA,6,35.5%,-,1-0,6,35.5%,5,11.9%,5,29.5%,14,-7.2%,16,-1.2%,5,0.6,6,32.5%,25,-26.8%,6,6.8%,1,0.0%
CAR,7,34.3%,-,1-0,7,34.3%,25,-7.8%,15,0.2%,3,-35.8%,17,-1.7%,14,0.6,10,20.6%,26,-40.5%,3,10.5%,1,0.0%
HOU,8,30.2%,-,1-0,8,30.2%,31,-18.7%,17,-1.7%,6,-28.0%,7,3.9%,7,0.6,5,32.6%,27,-41.8%,20,-4.5%,1,0.0%
DEN,9,20.9%,-,1-0,9,20.9%,13,4.3%,6,26.6%,20,5.8%,14,0.2%,9,0.6,8,21.4%,19,-1.4%,18,-3.4%,1,0.0%
MIA,10,17.7%,-,1-0,10,17.7%,16,3.0%,14,5.0%,10,-9.8%,8,3.0%,6,0.6,12,14.9%,20,-5.3%,32,-12.9%,1,0.0%
CLE,11,16.8%,-,0-1,11,16.8%,15,3.5%,1,57.1%,28,30.3%,29,-10.0%,12,0.6,13,12.4%,22,-7.8%,19,-3.5%,1,0.0%
CIN,12,15.6%,-,1-0,12,15.6%,21,-5.6%,12,12.8%,19,5.3%,4,8.1%,11,0.6,9,21.3%,14,8.9%,31,-11.9%,1,0.0%
TB,13,14.9%,-,1-0,13,14.9%,1,20.3%,10,17.5%,24,16.3%,1,13.7%,4,0.7,15,8.0%,23,-8.6%,11,4.6%,1,0.0%
MIN,14,8.9%,-,0-1,14,8.9%,10,5.3%,16,-1.1%,18,2.4%,2,12.4%,22,0.4,16,6.1%,12,15.6%,28,-9.9%,1,0.0%
LAC,15,5.7%,-,1-0,15,5.7%,24,-7.1%,20,-4.9%,7,-14.6%,24,-4.0%,18,0.5,22,-1.8%,18,2.0%,4,8.9%,1,0.0%
PIT,16,4.4%,-,1-0,16,4.4%,12,4.6%,26,-13.9%,5,-28.7%,30,-10.4%,10,0.6,17,3.1%,24,-20.0%,30,-10.6%,1,0.0%
LV,17,2.7%,-,1-0,17,2.7%,19,-2.7%,21,-6.8%,9,-11.5%,18,-2.0%,16,0.5,11,16.7%,21,-5.5%,12,3.9%,1,0.0%
WAS,18,2.0%,-,0-1,18,2.0%,18,-1.4%,24,-12.2%,12,-9.0%,6,5.2%,13,0.6,14,12.1%,15,5.7%,9,5.1%,1,0.0%
NYG,19,-1.4%,-,0-1,19,-1.4%,26,-8.2%,11,15.8%,23,15.2%,19,-2.1%,23,0.4,21,-1.6%,9,20.9%,2,11.7%,1,0.0%
NE,20,-5.3%,-,0-1,20,-5.3%,14,4.0%,18,-3.6%,16,-1.4%,22,-3.1%,20,0.5,19,0.5%,10,17.7%,29,-10.3%,1,0.0%
BAL,21,-5.5%,-,0-1,21,-5.5%,3,13.2%,23,-12.1%,17,1.8%,3,8.5%,21,0.4,23,-8.4%,17,2.7%,17,-2.6%,1,0.0%
KC,22,-7.8%,-,1-0,22,-7.8%,2,18.7%,4,32.1%,31,41.9%,10,2.0%,15,0.5,20,-1.6%,11,16.8%,22,-5.2%,1,0.0%
DAL,23,-8.6%,-,0-1,23,-8.6%,11,4.6%,8,22.9%,22,13.6%,32,-18.0%,24,0.4,18,2.0%,13,14.9%,1,14.3%,1,0.0%
BUF,24,-20.0%,-,0-1,24,-20.0%,9,8.6%,27,-26.1%,8,-13.1%,28,-7.0%,29,0.2,24,-14.2%,16,4.4%,27,-8.6%,1,0.0%
IND,25,-26.8%,-,0-1,25,-26.8%,20,-5.2%,19,-3.7%,25,23.5%,13,0.4%,25,0.4,25,-27.1%,6,35.5%,21,-5.0%,1,0.0%
NYJ,26,-40.5%,-,0-1,26,-40.5%,32,-23.4%,28,-31.6%,21,8.1%,15,-0.8%,27,0.3,26,-31.9%,7,34.3%,16,-2.0%,1,0.0%
JAX,27,-41.8%,-,0-1,27,-41.8%,30,-18.0%,29,-38.8%,15,-2.1%,26,-5.1%,26,0.3,27,-40.3%,8,30.2%,24,-6.0%,1,0.0%
CHI,28,-50.9%,-,0-1,28,-50.9%,23,-6.3%,22,-7.2%,32,45.2%,12,1.5%,32,0.0,29,-55.0%,2,67.2%,25,-6.6%,1,0.0%
