away,home
NYG,WAS
NE,NYJ
DEN,JAX
BUF,MIA
SF,PHI
LA,IND
LV,PIT
CIN,CHI
HOU,CLE
NO,CAR
MIN,ARI
ATL,TB
TEN,SEA
DAL,LAC
KC,BAL
DET,GB
