"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","GB","0.135","47.8%","0.239","51.3%","-0.036","42.1%"
"2","","TB","0.122","50.4%","0.161","51.3%","0.033","48.1%"
"3","","KC","0.117","50.9%","0.187","53.3%","-0.045","45.4%"
"4","","LA","0.093","46.9%","0.199","50.3%","-0.093","41.1%"
"5","","SF","0.090","45.4%","0.176","47.9%","-0.017","42.3%"
"6","","IND","0.089","45.8%","0.085","46.5%","0.095","44.9%"
"7","","ARI","0.087","47.1%","0.186","51.4%","-0.059","40.7%"
"8","","BUF","0.080","47.5%","0.158","51.3%","-0.077","39.7%"
"9","","LAC","0.080","46.9%","0.137","49.2%","-0.038","42.2%"
"10","","PHI","0.057","47.1%","0.084","45.7%","0.024","48.9%"
"11","","NE","0.044","46.6%","0.121","49.8%","-0.057","42.4%"
"12","","DEN","0.039","45.0%","0.104","46.4%","-0.056","42.9%"
"13","","MIN","0.037","42.4%","0.129","46.4%","-0.095","36.7%"
"14","","DAL","0.037","45.7%","0.108","48.8%","-0.082","40.4%"
"15","","BAL","0.024","46.9%","0.053","48.2%","-0.027","44.7%"
"16","","CLE","0.021","43.4%","0.043","45.8%","-0.008","40.2%"
"17","","CIN","0.018","44.7%","0.095","48.5%","-0.096","39.2%"
"18","","TEN","0.006","45.8%","0.044","50.9%","-0.041","39.5%"
"19","","SEA","-0.003","42.8%","0.018","43.9%","-0.040","40.8%"
"20","","LV","-0.005","45.0%","0.093","48.0%","-0.199","39.2%"
"21","","WAS","-0.022","44.9%","0.025","46.1%","-0.097","42.9%"
"22","","MIA","-0.034","42.7%","0.043","47.7%","-0.185","32.9%"
"23","","PIT","-0.036","40.8%","-0.002","43.0%","-0.099","36.5%"
"24","","NO","-0.045","41.7%","0.030","44.8%","-0.146","37.5%"
"25","","ATL","-0.072","41.1%","-0.005","47.2%","-0.189","30.7%"
"26","","NYG","-0.075","41.7%","-0.064","42.5%","-0.098","40.1%"
"27","","NYJ","-0.078","42.9%","-0.075","43.8%","-0.084","40.8%"
"28","","CHI","-0.082","41.5%","-0.066","43.6%","-0.108","38.1%"
"29","","DET","-0.092","41.7%","-0.075","45.2%","-0.120","36.0%"
"30","","JAX","-0.103","43.5%","-0.091","43.5%","-0.128","43.3%"
"31","","CAR","-0.105","42.4%","-0.123","42.3%","-0.078","42.7%"
"32","","HOU","-0.184","36.1%","-0.133","42.4%","-0.269","25.6%"
