Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
TB,1,25.1%,1,2,22.5%,2,39.3%,2,10.7%,2,21.2%,2,35.2%,5,6.7%,11,6.1%,2,-3.4%
GB,2,20.6%,2,1,23.3%,1,41.5%,9,-1.4%,1,21.8%,1,44.1%,11,-2.3%,17,7.2%,15,-0.2%
LAC,3,16.8%,3,3,18.3%,3,35.5%,12,-2.9%,4,15.9%,5,33.5%,10,-1.9%,18,7.3%,16,-0.2%
SF,4,15.5%,6,4,16.5%,4,33.2%,4,7.1%,3,16.4%,4,34.1%,3,8.1%,9,5.6%,27,1.3%
KC,5,14.1%,5,5,11.8%,6,28.3%,7,0.4%,7,11.9%,10,27.0%,12,-3.6%,23,8.4%,22,0.7%
LAR,6,13.9%,4,9,7.9%,5,31.2%,10,-2.7%,5,15.1%,3,34.2%,14,-4.1%,14,7.1%,18,0.1%
PHI,7,9.3%,9,7,9.5%,14,17.4%,3,10.0%,9,10.2%,13,21.4%,4,8.0%,2,3.9%,29,1.5%
DAL,8,8.5%,8,13,2.9%,9,24.0%,14,-4.0%,10,9.1%,11,24.9%,13,-4.1%,16,7.2%,19,0.3%
DEN,9,8.2%,12,8,9.1%,10,23.1%,8,-0.4%,8,11.2%,8,27.7%,7,0.8%,8,5.0%,31,3.7%
IND,10,8.1%,7,6,10.5%,20,11.2%,1,13.5%,14,7.1%,20,11.6%,1,10.8%,10,5.9%,10,-0.9%
BUF,11,7.3%,14,10,7.4%,11,22.6%,16,-4.9%,6,12.3%,9,27.5%,8,0.4%,32,15.0%,14,-0.4%
CLE,12,6.7%,13,14,2.0%,16,14.5%,5,7.0%,12,7.5%,17,13.3%,2,10.2%,22,8.3%,25,0.8%
SEA,13,6.0%,15,15,0.9%,13,20.2%,11,-2.8%,17,5.9%,14,21.1%,15,-4.4%,15,7.2%,3,-2.2%
MIN,14,5.2%,11,12,4.1%,7,27.9%,25,-15.1%,13,7.1%,6,30.8%,26,-14.5%,6,4.8%,21,0.6%
NE,15,4.2%,10,11,6.0%,12,20.7%,13,-3.8%,16,6.0%,12,21.8%,9,-1.1%,29,10.6%,13,-0.4%
BAL,16,3.8%,17,16,0.7%,17,12.5%,6,2.3%,15,6.2%,16,14.8%,6,4.9%,13,6.4%,30,1.7%
ARI,17,2.7%,16,18,-1.7%,8,26.6%,24,-14.6%,11,8.6%,7,30.3%,16,-5.9%,21,8.2%,20,0.3%
LV,18,-0.4%,18,17,-0.1%,15,16.2%,28,-15.5%,18,0.7%,15,15.3%,21,-11.2%,19,7.5%,26,0.9%
WAS,19,-3.8%,20,19,-5.3%,19,11.2%,22,-13.4%,20,-3.8%,22,8.7%,20,-10.4%,3,3.9%,9,-1.0%
CIN,20,-4.8%,21,20,-5.6%,23,5.1%,20,-10.7%,19,0.5%,18,12.6%,19,-8.0%,20,7.8%,32,4.4%
NO,21,-5.6%,19,23,-9.5%,18,12.4%,23,-13.6%,22,-5.8%,19,12.1%,25,-13.7%,28,10.5%,12,-0.8%
PIT,22,-6.0%,22,22,-7.7%,21,8.1%,27,-15.4%,21,-5.5%,21,8.8%,27,-15.2%,7,4.9%,28,1.3%
NYJ,23,-8.1%,24,21,-5.9%,27,-6.3%,15,-4.4%,24,-11.6%,28,-10.3%,17,-7.2%,5,4.4%,1,-3.8%
TEN,24,-8.4%,23,26,-11.9%,26,-2.9%,17,-5.8%,23,-9.3%,24,-2.8%,18,-7.7%,24,8.6%,4,-2.0%
MIA,25,-11.8%,25,24,-11.8%,22,5.5%,30,-26.0%,25,-11.7%,23,8.0%,30,-29.7%,1,3.7%,24,0.7%
CHI,26,-12.7%,26,25,-11.9%,24,-2.1%,21,-12.9%,26,-13.3%,25,-2.9%,24,-13.4%,25,8.6%,23,0.7%
JAX,27,-16.0%,28,27,-18.4%,30,-12.3%,18,-7.1%,28,-18.7%,30,-13.9%,22,-11.4%,26,9.7%,5,-1.8%
NYG,28,-16.4%,27,30,-20.7%,28,-6.6%,29,-19.1%,27,-17.2%,27,-8.8%,29,-18.0%,12,6.3%,7,-1.8%
DET,29,-17.5%,31,28,-19.0%,29,-9.4%,26,-15.4%,29,-19.1%,29,-11.5%,28,-16.3%,4,4.2%,17,-0.2%
ATL,30,-19.7%,29,29,-20.1%,25,-2.3%,31,-32.5%,30,-19.7%,26,-3.6%,31,-30.7%,27,10.5%,6,-1.8%
CAR,31,-21.1%,30,31,-24.1%,32,-20.7%,19,-10.1%,31,-21.7%,32,-20.5%,23,-11.9%,30,12.6%,11,-0.9%
HOU,32,-29.3%,32,32,-32.8%,31,-17.6%,32,-40.0%,32,-29.0%,31,-16.1%,32,-41.4%,31,14.5%,8,-1.5%

