away,home
SF,TEN
CLE,GB
IND,ARI
TB,CAR
NYG,PHI
LA,MIN
LAC,HOU
JAX,NYJ
DET,ATL
BUF,NE
BAL,CIN
CHI,SEA
PIT,KC
DEN,LV
WAS,DAL
MIA,NO
