Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
TB,1,27.8%,1,10-4,2,26.5%,1,25.1%,7,-5.6%,27,-2.9%,3,10.8,3,28.3%,13,0.5%,31,-21.8%,5,7.3%
DAL,2,26.8%,3,10-4,3,25.9%,8,8.5%,3,-15.6%,4,2.6%,2,10.9,2,29.5%,20,-0.7%,15,3.9%,12,9.8%
BUF,3,25.0%,4,8-6,5,22.9%,11,7.3%,2,-16.8%,16,0.9%,13,7.8,1,32.3%,31,-4.8%,30,-13.1%,32,33.5%
LAR,4,22.9%,5,10-4,7,21.0%,6,13.9%,6,-8.7%,17,0.3%,1,11.9,5,22.5%,21,-1.0%,3,9.6%,11,9.8%
NE,5,21.1%,2,9-5,1,28.8%,15,4.2%,1,-16.9%,18,0.0%,8,8.5,4,23.5%,27,-2.8%,24,-6.6%,30,25.2%
KC,6,18.5%,7,10-4,4,24.7%,5,14.1%,14,0.3%,2,4.7%,4,9.6,10,10.7%,7,3.3%,20,-2.5%,26,17.0%
SF,7,18.0%,8,8-6,8,20.9%,4,15.5%,9,-5.1%,24,-2.6%,5,9.4,8,16.2%,19,-0.6%,22,-5.1%,3,5.7%
IND,8,15.1%,9,8-6,6,21.5%,10,8.1%,8,-5.3%,13,1.6%,7,8.7,7,19.5%,23,-1.5%,28,-8.2%,17,11.1%
ARI,9,14.9%,6,10-4,11,8.4%,17,2.7%,5,-10.5%,12,1.6%,9,8.3,6,22.4%,22,-1.5%,2,15.3%,23,13.4%
GB,10,11.2%,10,11-3,9,15.4%,2,20.6%,22,2.8%,32,-6.6%,6,9.0,9,12.7%,10,2.0%,21,-5.0%,16,10.9%
LAC,11,9.3%,11,8-6,10,12.1%,3,16.8%,24,3.4%,31,-4.0%,15,7.6,15,6.1%,1,4.6%,29,-11.6%,13,10.0%
NO,12,8.5%,13,7-7,15,3.8%,21,-5.6%,4,-13.0%,15,1.1%,10,8.2,16,5.5%,8,2.3%,32,-24.0%,28,18.5%
MIN,13,6.4%,12,7-7,13,6.7%,14,5.2%,16,1.2%,5,2.3%,14,7.8,11,9.7%,16,-0.1%,8,7.2%,2,4.1%
PHI,14,6.0%,15,7-7,12,7.2%,7,9.3%,23,3.2%,19,-0.1%,12,7.9,13,6.8%,26,-2.2%,18,0.2%,8,9.3%
CLE,15,4.7%,14,7-7,18,0.1%,12,6.7%,15,1.0%,21,-1.0%,11,8.1,17,5.4%,17,-0.3%,17,0.5%,29,18.6%
BAL,16,4.4%,16,8-6,16,1.1%,16,3.8%,27,5.9%,1,6.5%,19,6.8,14,6.6%,14,0.1%,13,4.4%,10,9.7%
SEA,17,4.0%,17,5-9,17,1.0%,13,6.0%,25,5.1%,3,3.0%,17,7.0,19,2.1%,5,3.7%,26,-7.8%,1,3.9%
DEN,18,2.2%,18,7-7,14,6.2%,9,8.2%,21,2.4%,29,-3.6%,16,7.3,12,8.4%,28,-3.9%,10,6.4%,22,12.9%
CIN,19,-1.4%,19,8-6,19,-1.3%,20,-4.8%,11,-1.5%,7,2.0%,18,6.9,18,3.4%,30,-4.4%,4,9.2%,24,14.9%
PIT,20,-8.4%,23,7-6-1,25,-11.3%,22,-6.0%,20,2.2%,20,-0.1%,21,6.0,22,-10.8%,12,0.6%,4,9.2%,18,12.0%
LV,21,-8.5%,22,7-7,21,-9.6%,18,-0.4%,26,5.4%,26,-2.8%,20,6.4,20,-5.8%,9,2.0%,6,8.9%,21,12.7%
WAS,22,-9.1%,21,6-8,20,-8.9%,19,-3.8%,28,7.4%,6,2.1%,23,5.7,24,-12.3%,4,4.0%,12,5.2%,4,6.8%
TEN,23,-9.5%,20,9-5,22,-10.1%,24,-8.4%,13,-0.5%,22,-1.6%,22,5.7,23,-10.9%,11,1.6%,27,-8.1%,27,17.9%
CHI,24,-12.3%,26,4-10,23,-10.2%,26,-12.7%,18,1.6%,8,2.0%,26,4.0,26,-16.6%,6,3.6%,19,-2.2%,20,12.7%
