"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","GB","0.143","48.6%","0.237","51.3%","-0.011","44.1%"
"2","","KC","0.135","51.2%","0.209","53.6%","-0.024","46.0%"
"3","","TB","0.135","50.0%","0.187","51.4%","0.020","47.1%"
"4","","BUF","0.096","47.8%","0.167","51.4%","-0.040","40.9%"
"5","","ARI","0.090","47.0%","0.177","51.0%","-0.040","40.9%"
"6","","LAC","0.084","47.9%","0.159","51.2%","-0.063","41.4%"
"7","","SF","0.084","45.1%","0.175","47.4%","-0.028","42.3%"
"8","","LA","0.084","47.2%","0.172","50.1%","-0.069","42.2%"
"9","","IND","0.080","44.8%","0.080","46.3%","0.079","43.0%"
"10","","NE","0.074","47.9%","0.146","50.8%","-0.019","44.2%"
"11","","CIN","0.073","45.3%","0.182","49.6%","-0.101","38.5%"
"12","","PHI","0.060","46.7%","0.094","45.7%","0.017","47.9%"
"13","","DAL","0.056","46.2%","0.141","49.7%","-0.094","39.9%"
"14","","SEA","0.035","43.8%","0.049","45.1%","0.014","41.7%"
"15","","BAL","0.024","46.9%","0.063","48.3%","-0.043","44.4%"
"16","","DEN","0.020","44.5%","0.089","46.3%","-0.080","41.8%"
"17","","MIN","0.016","41.7%","0.095","45.4%","-0.109","35.8%"
"18","","CLE","0.015","43.2%","0.018","44.8%","0.010","40.8%"
"19","","TEN","0.010","44.8%","0.060","50.3%","-0.049","38.2%"
"20","","LV","-0.006","45.4%","0.089","48.3%","-0.177","40.1%"
"21","","WAS","-0.037","44.7%","-0.008","45.8%","-0.084","42.8%"
"22","","PIT","-0.050","40.4%","-0.042","41.6%","-0.064","38.2%"
"23","","NYJ","-0.052","43.3%","-0.043","44.0%","-0.070","41.9%"
"24","","MIA","-0.054","41.7%","0.017","46.7%","-0.192","32.0%"
"25","","ATL","-0.070","41.5%","-0.011","47.4%","-0.174","31.3%"
"26","","CHI","-0.073","41.3%","-0.052","43.5%","-0.106","37.7%"
"27","","DET","-0.074","41.9%","-0.043","45.5%","-0.123","36.1%"
"28","","NO","-0.082","40.5%","-0.025","43.9%","-0.160","35.8%"
"29","","JAX","-0.091","44.0%","-0.079","44.3%","-0.113","43.4%"
"30","","NYG","-0.125","40.9%","-0.135","41.4%","-0.105","40.1%"
"31","","CAR","-0.127","41.4%","-0.157","41.1%","-0.079","41.7%"
"32","","HOU","-0.151","37.2%","-0.104","42.9%","-0.225","28.2%"
