Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
DAL,1,-15.5%,1,2,-19.8%,1,-20.7%,18,-7.5%,2,-17.2%,2,-20.5%,12,-12.1%,15,5.7%,24,-1.6%
NE,2,-15.4%,3,1,-19.9%,3,-14.9%,7,-16.0%,3,-15.6%,3,-14.8%,7,-16.7%,26,8.7%,25,-2.3%
BUF,3,-14.7%,2,7,-10.2%,2,-18.6%,15,-9.9%,1,-17.6%,1,-23.0%,16,-11.0%,32,11.7%,31,-4.8%
NO,4,-14.6%,4,3,-15.8%,4,-5.0%,1,-28.8%,4,-13.0%,6,-4.1%,1,-26.3%,20,6.9%,15,0.2%
LAR,5,-9.6%,6,5,-12.4%,5,-2.3%,4,-19.7%,9,-6.5%,9,1.0%,6,-16.8%,8,3.6%,16,0.2%
ARI,6,-9.1%,5,9,-7.7%,6,-2.2%,5,-18.9%,5,-9.4%,7,-3.0%,5,-18.7%,5,3.2%,14,0.3%
IND,7,-6.3%,9,4,-12.6%,14,3.7%,3,-21.5%,7,-7.9%,8,0.6%,2,-20.8%,21,6.9%,20,-0.6%
SF,8,-5.8%,10,8,-9.9%,18,6.3%,2,-22.7%,11,-3.5%,17,7.5%,3,-19.0%,4,2.9%,21,-0.7%
TEN,9,-4.3%,11,6,-10.8%,7,-1.1%,14,-9.9%,12,-1.7%,12,2.9%,17,-9.7%,23,8.1%,18,-0.1%
MIA,10,-4.3%,8,10,-6.9%,9,-0.1%,13,-10.5%,8,-6.8%,5,-6.1%,18,-7.7%,28,9.6%,30,-4.2%
TB,11,-4.0%,7,11,-5.7%,8,-0.6%,12,-11.0%,6,-9.4%,4,-6.9%,9,-14.6%,6,3.3%,32,-5.1%
CAR,12,-1.9%,12,24,3.1%,15,4.1%,17,-8.5%,10,-4.5%,11,2.4%,11,-12.2%,30,10.4%,29,-3.5%
CHI,13,-1.8%,23,14,-3.1%,10,0.9%,23,-4.7%,15,0.3%,14,4.7%,23,-4.4%,31,11.4%,4,2.9%
CLE,14,-1.8%,17,13,-4.9%,11,1.2%,20,-5.8%,13,-0.7%,13,3.5%,20,-6.3%,27,9.0%,13,0.6%
PIT,15,1.0%,22,21,1.5%,13,2.9%,27,-1.3%,22,4.0%,19,7.8%,28,-0.5%,14,5.6%,2,3.7%
PHI,16,1.0%,15,18,-0.3%,21,9.0%,16,-9.5%,14,-0.3%,20,8.6%,13,-12.0%,16,5.7%,28,-3.1%
MIN,17,1.5%,13,22,1.5%,16,4.3%,25,-2.5%,20,3.2%,15,6.1%,27,-0.8%,10,3.7%,5,2.4%
HOU,18,1.6%,18,20,1.2%,19,7.0%,24,-4.6%,23,4.6%,21,8.7%,30,-0.2%,12,4.3%,10,1.0%
GB,19,1.6%,21,15,-1.6%,12,2.7%,28,-0.2%,16,0.8%,10,1.5%,29,-0.3%,18,5.9%,17,0.1%
CIN,20,2.2%,14,25,3.2%,24,11.2%,11,-12.1%,18,2.6%,23,11.7%,14,-11.9%,11,3.9%,12,0.8%
DEN,21,2.3%,19,17,-0.3%,20,7.6%,22,-5.3%,17,1.4%,16,7.0%,19,-6.6%,25,8.6%,19,-0.3%
NYG,22,2.6%,20,16,-1.0%,17,4.7%,29,-0.2%,21,3.7%,18,7.7%,25,-1.4%,9,3.7%,9,1.7%
LV,23,2.6%,24,19,1.1%,25,13.9%,9,-12.9%,19,3.1%,25,15.0%,10,-13.3%,3,2.9%,8,1.7%
KC,24,2.9%,16,12,-5.4%,22,9.0%,19,-6.4%,25,5.0%,22,11.6%,22,-5.1%,29,9.7%,3,3.1%
SEA,25,4.8%,25,23,2.7%,27,20.8%,8,-15.3%,24,4.6%,27,20.8%,8,-15.6%,1,1.4%,22,-1.0%
LAC,26,6.4%,26,27,7.1%,23,9.9%,32,2.5%,26,7.6%,24,13.4%,31,1.1%,13,4.9%,11,0.9%
WAS,27,8.0%,27,26,5.3%,28,21.1%,10,-12.2%,29,12.5%,29,27.7%,15,-11.2%,17,5.8%,1,4.2%
BAL,28,10.2%,28,29,12.8%,30,27.7%,6,-17.3%,27,9.8%,30,27.9%,4,-18.7%,22,6.9%,7,2.2%
ATL,29,11.9%,31,28,9.5%,26,20.6%,30,1.1%,28,10.4%,26,19.3%,26,-0.8%,2,2.7%,26,-2.5%
DET,30,13.6%,29,31,13.9%,29,22.9%,31,2.5%,30,14.6%,28,24.0%,32,3.5%,7,3.5%,6,2.4%
JAX,31,14.7%,30,30,12.9%,32,32.7%,21,-5.4%,31,15.2%,32,33.8%,21,-5.5%,24,8.3%,23,-1.4%
NYJ,32,15.6%,32,32,16.2%,31,30.8%,26,-1.5%,32,15.4%,31,32.0%,24,-3.4%,19,5.9%,27,-3.0%

