"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","DAL","-0.101","40.9%","-0.121","42.0%","-0.064","38.9%"
"2","","NO","-0.095","39.8%","-0.055","43.6%","-0.166","33.0%"
"3","","BUF","-0.093","41.4%","-0.092","43.2%","-0.095","38.5%"
"4","","ARI","-0.074","43.9%","-0.028","46.3%","-0.152","39.9%"
"5","","NE","-0.073","42.4%","-0.067","44.5%","-0.081","39.2%"
"6","","TB","-0.053","43.3%","-0.032","45.4%","-0.106","38.3%"
"7","","CAR","-0.051","40.8%","0.003","44.0%","-0.120","36.7%"
"8","","LA","-0.033","44.1%","0.021","47.2%","-0.128","38.6%"
"9","","MIA","-0.030","42.0%","-0.015","44.3%","-0.058","38.0%"
"10","","TEN","-0.028","42.4%","0.000","43.9%","-0.089","39.1%"
"11","","PHI","-0.026","45.5%","0.027","48.1%","-0.112","41.2%"
"12","","CIN","-0.014","43.1%","0.026","45.5%","-0.097","38.1%"
"13","","DEN","-0.011","44.7%","0.026","45.6%","-0.069","43.3%"
"14","","IND","-0.005","45.5%","0.054","49.3%","-0.110","38.8%"
"15","","SF","0.001","41.9%","0.082","45.8%","-0.136","35.4%"
"16","","GB","0.010","46.5%","0.012","46.8%","0.005","45.7%"
"17","","MIN","0.016","45.8%","0.028","47.7%","-0.004","42.7%"
"18","","PIT","0.021","43.9%","0.049","45.9%","-0.019","41.0%"
"19","","CLE","0.027","42.7%","0.053","43.7%","-0.017","41.0%"
"20","","CHI","0.030","44.7%","0.067","46.8%","-0.017","42.1%"
"21","","NYG","0.030","46.3%","0.060","48.1%","-0.016","43.5%"
"22","","SEA","0.031","46.5%","0.126","52.1%","-0.118","37.9%"
"23","","KC","0.038","47.1%","0.087","47.4%","-0.056","46.4%"
"24","","LAC","0.043","47.2%","0.078","47.1%","-0.005","47.3%"
"25","","LV","0.056","44.8%","0.158","49.0%","-0.106","38.2%"
"26","","HOU","0.065","48.4%","0.133","52.4%","-0.021","43.5%"
"27","","ATL","0.074","48.3%","0.174","51.5%","-0.068","43.7%"
"28","","BAL","0.090","43.7%","0.192","47.4%","-0.112","36.2%"
"29","","DET","0.107","45.8%","0.216","50.2%","-0.035","40.1%"
"30","","WAS","0.110","46.1%","0.212","50.2%","-0.073","38.6%"
"31","","JAX","0.134","47.4%","0.262","52.2%","-0.037","41.1%"
"32","","NYJ","0.145","48.3%","0.266","52.8%","-0.020","42.3%"
