away,home
KC,DEN
DAL,PHI
WAS,NYG
TEN,HOU
PIT,BAL
IND,JAX
GB,DET
CIN,CLE
CHI,MIN
SEA,ARI
SF,LA
NYJ,BUF
NO,ATL
NE,MIA
CAR,TB
LAC,LV
