Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
TB,1,25.2%,1,2,21.3%,1,42.2%,4,6.3%,2,22.1%,2,38.5%,7,4.1%,9,5.4%,2,-3.0%
GB,2,23.2%,2,1,28.8%,2,42.0%,8,3.2%,1,24.4%,1,44.7%,9,2.5%,14,6.8%,17,0.1%
LAC,3,17.7%,3,3,19.6%,3,37.6%,14,-4.5%,3,17.0%,3,36.2%,13,-4.0%,17,7.2%,20,0.5%
KC,4,16.8%,5,4,16.1%,4,33.0%,10,0.2%,5,15.7%,5,31.7%,11,-0.6%,23,8.1%,23,0.7%
SF,5,14.2%,4,6,14.3%,5,32.6%,5,5.6%,4,16.2%,4,35.2%,3,7.2%,10,5.4%,26,1.1%
LAR,6,11.2%,7,13,4.0%,8,26.0%,12,-1.8%,7,12.9%,7,29.4%,12,-2.4%,13,6.6%,25,0.9%
SEA,7,10.8%,11,11,6.5%,10,24.8%,7,3.7%,9,11.3%,11,26.0%,8,3.5%,19,7.4%,9,-1.6%
BUF,8,10.5%,6,7,13.1%,12,21.6%,6,4.2%,6,13.9%,13,25.5%,4,6.7%,31,14.3%,15,-0.9%
DAL,9,10.4%,8,12,5.8%,7,28.1%,17,-6.7%,8,11.5%,6,29.5%,17,-6.0%,15,7.0%,18,0.3%
NE,10,9.7%,13,5,15.5%,9,25.1%,9,2.3%,10,11.0%,14,25.1%,6,5.0%,29,11.1%,14,-1.0%
IND,11,8.2%,9,8,10.4%,18,13.0%,1,11.6%,15,6.6%,17,13.8%,2,7.3%,6,5.0%,12,-1.3%
PHI,12,8.1%,10,9,7.8%,15,18.4%,3,7.0%,11,10.3%,15,24.2%,5,5.9%,1,3.3%,30,2.2%
ARI,13,4.5%,16,16,-0.5%,6,28.6%,23,-12.8%,12,7.9%,8,28.9%,16,-5.5%,21,7.7%,10,-1.6%
BAL,14,3.8%,15,18,-0.8%,16,16.4%,11,-1.4%,16,5.4%,16,16.4%,10,2.3%,11,5.5%,22,0.7%
DEN,15,3.7%,12,14,2.2%,13,19.8%,16,-6.4%,13,7.7%,12,25.7%,14,-4.5%,12,5.9%,31,4.5%
CLE,16,3.0%,14,20,-4.4%,19,7.3%,2,9.1%,18,4.4%,19,7.1%,1,12.4%,22,8.0%,29,1.9%
MIN,17,2.4%,17,17,-0.8%,11,23.5%,27,-17.8%,17,4.8%,9,27.3%,26,-17.2%,3,4.3%,21,0.6%
CIN,18,2.0%,19,10,6.8%,14,18.5%,20,-12.5%,14,7.5%,10,26.2%,20,-9.9%,25,9.7%,32,4.6%
LV,19,-1.6%,18,19,-1.5%,17,14.7%,25,-14.4%,19,-1.1%,18,13.3%,21,-11.1%,16,7.0%,24,0.7%
NYJ,20,-4.7%,21,15,0.5%,26,-1.4%,13,-2.3%,22,-7.6%,27,-4.6%,15,-4.8%,8,5.2%,1,-3.2%
WAS,21,-5.4%,20,21,-9.3%,21,7.0%,21,-12.7%,20,-5.8%,22,3.7%,19,-9.6%,5,4.7%,7,-1.8%
TEN,22,-6.6%,22,22,-10.1%,23,0.4%,15,-5.5%,21,-7.2%,23,1.3%,18,-7.6%,20,7.5%,6,-1.9%
PIT,23,-10.0%,23,25,-13.8%,24,-0.2%,24,-13.6%,23,-9.1%,24,0.4%,22,-12.0%,7,5.2%,28,1.6%
NO,24,-10.1%,24,27,-16.6%,20,7.0%,28,-18.3%,24,-10.3%,20,6.2%,28,-17.7%,30,13.4%,13,-1.3%
CHI,25,-12.2%,26,23,-11.1%,27,-2.3%,22,-12.7%,25,-11.3%,25,-0.8%,24,-12.7%,18,7.4%,27,1.6%
MIA,26,-13.7%,25,24,-12.7%,22,2.1%,30,-27.1%,26,-13.6%,21,4.9%,31,-31.3%,2,4.0%,16,-0.1%
JAX,27,-16.6%,27,28,-19.6%,30,-12.7%,18,-9.2%,28,-18.8%,30,-14.3%,23,-12.3%,24,9.4%,4,-2.1%
ATL,28,-17.0%,28,26,-14.8%,25,-1.0%,31,-28.4%,27,-17.8%,26,-3.0%,30,-27.5%,26,10.4%,8,-1.7%
DET,29,-20.0%,29,29,-23.6%,28,-10.6%,26,-17.5%,29,-20.5%,29,-11.2%,27,-17.7%,4,4.3%,19,0.5%
CAR,30,-23.7%,31,31,-30.4%,32,-25.9%,19,-11.1%,32,-25.7%,32,-27.5%,25,-13.6%,28,10.9%,3,-2.4%
HOU,31,-24.4%,32,30,-25.9%,29,-12.1%,32,-34.4%,30,-23.6%,28,-10.6%,32,-34.4%,32,15.7%,11,-1.5%
NYG,32,-25.0%,30,32,-35.8%,31,-19.2%,29,-22.3%,31,-25.7%,31,-21.2%,29,-21.1%,27,10.9%,5,-1.9%

